dataset	model	cv_mcc	test_mcc	test_accuracy	test_f1	generalization_gap_abs	s3_total	s3_predicted_positive	s3_predicted_negative	s3_positive_fraction	s3_mean_probability	s3_min_probability	s3_max_probability	s3_negative_sequences	s5_total	s5_predicted_positive	s5_predicted_negative	s5_positive_fraction	s5_mean_probability	s5_min_probability	s5_max_probability	s5_negative_sequences	overall_rank_score
pcp_aac	knn	0.8141843288572312	0.8733624684815949	0.9619047619047619	0.8947368421052632	0.05917813962436369	11	11	0	1.0	0.8584032823654827	0.7212497207873726	0.9999999999999998		3	3	0	1.0	0.9847788886703631	0.9543366660110898	1.0		2.8141843288572312
pcp_aac	xgboost	0.8083004316619876	0.8364388735388757	0.9523809523809523	0.8648648648648649	0.028138441876888076	11	11	0	1.0	0.8532782281818183	0.67456686	0.9987865		3	3	0	1.0	0.9994206666666666	0.9984028	0.9999441		2.8083004316619875
pcp_aac	random_forest	0.7952677891958855	0.7707990516243899	0.9333333333333333	0.8108108108108109	0.02446873757149559	11	11	0	1.0	0.7927624536089098	0.6964062062950966	0.9041681919349076		3	3	0	1.0	0.9257391316118325	0.8377772970217837	0.9718210733120364		2.7463303140528943
pcp_aac	svm_rbf	0.7861207467659239	0.9329501915708812	0.9809523809523809	0.9444444444444444	0.1468294448049573	11	10	1	0.9090909090909091	0.7562979534891806	0.1978469586432133	0.945073513856218	SDEAVRAIPKMYSTAPPGDFETIPDDAIEEREMKAR	3	3	0	1.0	0.9411245035595656	0.931252942576866	0.9501583896283078		2.695211655856833
pcp_aac	svm_linear	0.6494205219128368	0.7343273037996354	0.9047619047619048	0.7727272727272727	0.08490678188679857	11	11	0	1.0	0.41928911638182115	0.2170704057424577	0.6278322775579294		3	3	0	1.0	0.675461220324351	0.553822520651487	0.9075112955078268		2.649420521912837
pcp_aac	logistic_regression	0.6081702854062657	0.697154239345804	0.8857142857142857	0.7391304347826086	0.08898395393953829	11	11	0	1.0	0.7918320945587805	0.6588771407264671	0.9323941495111676		3	3	0	1.0	0.9708358680535255	0.9592716974339344	0.9938774339608156		2.6081702854062656
pcp_aac_ctd	xgboost	0.811543777912016	0.897687250469665	0.9714285714285714	0.9142857142857143	0.08614347255764898	11	11	0	1.0	0.8907476345454547	0.5041718	0.9984145		3	3	0	1.0	0.99934918	0.9992275	0.999481		2.811543777912016
pcp_aac_ctd	random_forest	0.7925636716948782	0.9662878045448577	0.9904761904761905	0.9714285714285714	0.17372413284997956	11	10	1	0.9090909090909091	0.7724732845019648	0.460448272927382	0.8881529607711302	MYSTAPPGDFEEIPDDAIEE	3	3	0	1.0	0.8739285867392531	0.8032881356797503	0.9095548787462534		2.7016545807857875
pcp_aac_ctd	svm_rbf	0.7918580258902204	0.897687250469665	0.9714285714285714	0.9142857142857143	0.10582922457944466	11	10	1	0.9090909090909091	0.8054430173280847	0.2159913409350582	0.9757605288690308	SDEAVRAIPKMYSTAPPGDFETIPDDAIEEREMKAR	3	3	0	1.0	0.9890025379472936	0.98791869417889	0.9910425314923536		2.7009489349811293
pcp_aac_ctd	knn	0.7504520374756929	0.8465428153297755	0.9523809523809523	0.8717948717948718	0.0960907778540826	11	10	1	0.9090909090909091	0.945236590376308	0.495973630486241	1.0	SDEAVRAIPKMYSTAPPGDFETIPDDAIEEREMKAR	3	3	0	1.0	1.0	1.0	1.0		2.659542946566602
pcp_aac_ctd	svm_linear	0.6926396472953416	0.7543456477781516	0.9142857142857143	0.7906976744186046	0.06170600048281005	11	9	2	0.8181818181818182	0.4675093508515087	0.125628884890796	0.6862869952461501	SDEAVRAIPKMYSTAPPGDFETIPDDAIEEREMKAR; MYSTAPPGDFEEIPDDAIEE	3	3	0	1.0	0.839521925311317	0.794160422305492	0.8950860111457817		2.51082146547716
pcp_aac_ctd	logistic_regression	0.6626455336661874	0.697154239345804	0.8857142857142857	0.7391304347826086	0.034508705679616614	11	9	2	0.8181818181818182	0.8171287734924122	0.0015909206636617	0.9999766436811344	SDEAVRAIPKMYSTAPPGDFETIPDDAIEEREMKAR; MYSTAPPGDFEEIPDDAIEE	3	3	0	1.0	0.9999980548966579	0.999995010633391	0.9999999822711256		2.4808273518480055
pcp_aac_ctd_dpc	svm_rbf	0.8505771171463842	0.9329501915708812	0.9809523809523809	0.9444444444444444	0.08237307442449704	11	11	0	1.0	0.8547982583650501	0.5776009903879805	0.9816934092560028		3	3	0	1.0	0.9893416942913015	0.9855893888681396	0.9912279699005008		2.8505771171463845
pcp_aac_ctd_dpc	xgboost	0.80362201240802	0.9321554900755038	0.9809523809523809	0.9411764705882353	0.1285334776674838	11	11	0	1.0	0.935654949090909	0.7082567	0.9968725		3	3	0	1.0	0.9977283766666667	0.9965553	0.9984321		2.80362201240802
pcp_aac_ctd_dpc	svm_linear	0.7849575244251336	0.7754499770171333	0.9238095238095239	0.8095238095238095	0.009507547408000305	11	11	0	1.0	0.8595894669670759	0.6791150737638105	0.9695547828533916		3	3	0	1.0	0.977225227200946	0.9757416232912038	0.9789191313655974		2.7659424296091326
pcp_aac_ctd_dpc	knn	0.7649241519876584	0.9020786954533615	0.9714285714285714	0.918918918918919	0.1371545434657031	11	11	0	1.0	0.80074986831433	0.7266326254621486	1.0		3	3	0	1.0	0.9705440225863793	0.911632067759138	1.0		2.7649241519876586
pcp_aac_ctd_dpc	random_forest	0.7928065203272782	0.9662878045448577	0.9904761904761905	0.9714285714285714	0.17348128421757958	11	10	1	0.9090909090909091	0.7585556434667893	0.4561462450207066	0.9511190556053564	MYSTAPPGDFEEIPDDAIEE	3	3	0	1.0	0.9299876439982536	0.91126340658492	0.941762365415754		2.7018974294181874
pcp_aac_ctd_dpc	logistic_regression	0.701697352765171	0.6473691165720082	0.8571428571428571	0.6938775510204082	0.05432823619316274	11	11	0	1.0	0.9999491100446342	0.999673710665036	0.9999999491432484		3	3	0	1.0	0.9999997233919817	0.999999557056628	0.9999999995293368		2.5930408803788456
