dataset,model,mean_test_mcc,std_test_mcc,mean_test_accuracy,mean_test_f1,mean_test_precision,mean_test_recall,mean_tn,mean_fp,mean_fn,mean_tp,times_selected_by_val_mcc
pcp_aac,svm_rbf,0.7646943770628228,0.06775421955867286,0.9361904761904762,0.7988149025177096,0.8328992825200257,0.7754901960784314,84.8,2.8,3.9,13.5,4
pcp_aac,knn,0.7628413822419846,0.03985824773176786,0.9304761904761906,0.8017542752164817,0.7675194860552916,0.8444444444444444,83.0,4.6,2.7,14.7,1
pcp_aac,random_forest,0.7333553375419866,0.09049346642418012,0.9314285714285715,0.7509085684430512,0.9190064102564103,0.6486928104575164,86.5,1.1,6.1,11.3,0
pcp_aac,xgboost,0.717031142304411,0.05419547614305524,0.9257142857142858,0.7475434694780579,0.8557539682539682,0.6774509803921569,85.4,2.2,5.6,11.8,5
pcp_aac,svm_linear,0.6479048329086818,0.08915484519971666,0.8733333333333333,0.7001675211316922,0.5866081075786959,0.8790849673202615,76.4,11.2,2.1,15.3,0
pcp_aac,logistic_regression,0.6270539603834699,0.07746231476041933,0.8695238095238095,0.6849093154022154,0.5826262867175646,0.8441176470588235,76.6,11.0,2.7,14.7,0
pcp_aac_ctd,svm_rbf,0.8281328179269856,0.050151090389818694,0.9542857142857143,0.8469133562515916,0.9423076923076923,0.7751633986928105,86.7,0.9,3.9,13.5,7
pcp_aac_ctd,xgboost,0.7739093724660961,0.07872863960584309,0.940952380952381,0.7902766611346733,0.9389148351648352,0.6954248366013072,86.7,0.9,5.3,12.1,1
pcp_aac_ctd,random_forest,0.7619864609560374,0.06415984540123762,0.9380952380952381,0.7702492716775253,0.9839743589743589,0.6382352941176471,87.4,0.2,6.3,11.1,0
pcp_aac_ctd,knn,0.7267777910052422,0.056842326137239836,0.9161904761904761,0.7706358271843565,0.710236229572614,0.8496732026143791,81.4,6.2,2.6,14.8,0
pcp_aac_ctd,logistic_regression,0.7152155086524801,0.07086300026936987,0.9161904761904761,0.7619859027833661,0.7248812568505663,0.8098039215686275,82.1,5.5,3.3,14.1,2
pcp_aac_ctd,svm_linear,0.7072397585924645,0.09077362225558755,0.9161904761904761,0.7557318359101042,0.7363720855168223,0.780718954248366,82.6,5.0,3.8,13.6,0
pcp_aac_ctd_dpc,svm_rbf,0.8494219015931351,0.06396457316529648,0.96,0.8612982639826191,0.9808333333333333,0.7754901960784314,87.3,0.3,3.9,13.5,6
pcp_aac_ctd_dpc,logistic_regression,0.8084462915063199,0.049130908676409166,0.9447619047619048,0.8391048884247725,0.8178052975576195,0.8676470588235293,84.1,3.5,2.3,15.1,1
pcp_aac_ctd_dpc,svm_linear,0.800030395696915,0.05763101484413417,0.9419047619047619,0.8316497640646248,0.8165409023381158,0.8562091503267973,84.0,3.6,2.5,14.9,1
pcp_aac_ctd_dpc,xgboost,0.7846159480403035,0.0793329040475965,0.9438095238095239,0.7970570109621671,0.9643910256410256,0.6895424836601307,87.1,0.5,5.4,12.0,0
pcp_aac_ctd_dpc,random_forest,0.7773900571580864,0.06879064731809142,0.9419047619047619,0.7850294079298529,0.9916666666666666,0.6552287581699346,87.5,0.1,6.0,11.4,2
pcp_aac_ctd_dpc,knn,0.5093634416211623,0.0765135672218211,0.7780952380952381,0.5758021856371686,0.42938141344348635,0.8901960784313726,66.2,21.4,1.9,15.5,0
