feature	mean_abs_shap
pI	0.016229865014051402
_ChargeC3	0.011260864852882753
_ChargeT23	0.010442371960400848
P	0.009717471229731094
length	0.008711215818213774
E	0.008265038222298154
DF	0.00786808594167863
_SecondaryStrC3	0.0077535363559838545
_HydrophobicityT12	0.005989856771679904
_PolarizabilityD2001	0.005899108071841693
_SecondaryStrD3001	0.0058657560806426486
instability	0.0058652500357034764
IP	0.0056440128342648685
_ChargeD2001	0.005292967741305618
mw	0.0051832259596233604
_NormalizedVDWVC1	0.004831414707023486
_PolarizabilityT13	0.004828374211990622
_HydrophobicityC3	0.00480980632382963
EY	0.004809049162005552
_PolarityT23	0.004649776380271367
