feature	mean_abs_shap	repeat
pI	0.04695514120269921	1
length	0.039970893385208865	1
mw	0.03589467474727863	1
instability	0.03184738221115444	1
P	0.03168672203806355	1
E	0.02739809298512111	1
L	0.023935067535259032	1
I	0.02326319416180461	1
C	0.021924316708771596	1
V	0.020530000705464478	1
K	0.019347890079634125	1
M	0.017950331500932688	1
N	0.017467284080833187	1
D	0.017085364148355667	1
G	0.0168134379567184	1
R	0.015963223753677536	1
T	0.014726044751454346	1
F	0.014342550290004152	1
W	0.013630467411644042	1
S	0.0126863942013837	1
