feature	mean_abs_shap	repeat
pI	0.06407496220542419	2
P	0.05347972405674691	2
E	0.04766826184669744	2
instability	0.03063559185356456	2
length	0.026200965415952276	2
mw	0.020808811398669837	2
D	0.02010552791627688	2
L	0.0180222557971162	2
K	0.011826746905553284	2
I	0.010905341594762601	2
M	0.010677975573724437	2
Y	0.010057694594140517	2
G	0.007412587506626776	2
T	0.006412196713007403	2
R	0.005964035691148112	2
F	0.0054140454694812665	2
V	0.005275117366654145	2
aromaticity	0.004064828471272733	2
N	0.0036694537806092747	2
A	0.003624723886163963	2
