feature	mean_abs_shap	repeat
pI	0.06052678821421417	3
E	0.03301008154046763	3
M	0.029347696366053153	3
length	0.028895651005288955	3
W	0.02860307736139526	3
P	0.026643029173565015	3
mw	0.02459562609991993	3
G	0.023893614973603376	3
instability	0.02117100822179147	3
L	0.0206101603867964	3
T	0.017380014254461812	3
I	0.016244429557710393	3
N	0.009889878117226908	3
F	0.00873779004045902	3
K	0.008367244072154523	3
V	0.007726485377295047	3
A	0.0076408896439135125	3
Q	0.006770031726103919	3
C	0.006262814415710499	3
H	0.006062517577166553	3
R	0.005987903500922146	3
S	0.0042665108260184735	3
Y	0.0036494892180030237	3
aromaticity	0.0018067147953085253	3
D	0.0011044936051188249	3
