feature	mean_abs_shap	repeat
pI	0.03348780343975363	2
P	0.024717658958272257	2
L	0.020547682553702082	2
G	0.020525559890783626	2
M	0.02008313101310334	2
I	0.020065063221541484	2
E	0.019370717879032745	2
W	0.017132453265221514	2
length	0.016235548782805222	2
mw	0.01573996559031046	2
T	0.01447584451107128	2
instability	0.014314791617186717	2
V	0.014152853537733582	2
C	0.014152290575269223	2
D	0.010555538353461156	2
N	0.010437804589918043	2
K	0.00944040718890109	2
H	0.009179851465667193	2
A	0.008605553357417733	2
R	0.007554877767785064	2
