feature	mean_abs_shap	repeat
pI	0.013929679032944314	2
instability	0.013631758604013954	2
C	0.012116426856941913	2
_SecondaryStrC3	0.010573054908475479	2
_ChargeC3	0.01055484085321673	2
_ChargeT23	0.009721818821957575	2
_ChargeD3050	0.009655349434815292	2
_HydrophobicityT12	0.009504566510942034	2
L	0.008976438305951526	2
_PolarityC1	0.008886369962186924	2
_ChargeD2075	0.00877081471747226	2
_HydrophobicityC3	0.008570178665938987	2
_ChargeD3075	0.00845344182276092	2
_NormalizedVDWVC1	0.007993305107406626	2
_ChargeD1100	0.007983687392854176	2
length	0.007944949740169002	2
_HydrophobicityT23	0.007853216294390465	2
mw	0.007818042996167132	2
_SolventAccessibilityT23	0.007791658197138414	2
_NormalizedVDWVC3	0.007649407081765282	2
