feature	mean_abs_shap	repeat
mw	0.03291410538930069	3
length	0.03259488649809263	3
pI	0.02653050379065688	3
C	0.025536305485275	3
_SolventAccessibilityD1050	0.019473972889062278	3
W	0.017635730621658564	3
_SolventAccessibilityD3075	0.017302759424044807	3
_PolarizabilityD2100	0.016387520933675317	3
instability	0.016333236304506563	3
G	0.01574143756228667	3
_ChargeD1100	0.014824339772863656	3
_NormalizedVDWVD2075	0.014187683502588526	3
_SecondaryStrT23	0.01412355438272193	3
_ChargeT23	0.014097304389785396	3
_PolarizabilityD1050	0.014059874393040546	3
_SecondaryStrD3050	0.013907773049112332	3
_HydrophobicityT13	0.013651797091267286	3
_PolarityD2075	0.013404296954822745	3
_HydrophobicityD3100	0.01311202508009094	3
_SolventAccessibilityD3050	0.013079107503194022	3
I	0.012525014768205674	3
_SecondaryStrT13	0.011962004202339182	3
Q	0.011661071163803887	3
_PolarityD1100	0.011497876272053282	3
_SecondaryStrT12	0.011461369499254274	3
