feature	mean_abs_shap	repeat
C	0.016882909876173156	2
length	0.014805589313725309	2
mw	0.014193389233069911	2
pI	0.012398913339640586	2
_SolventAccessibilityD1050	0.011484374571474953	2
_SecondaryStrT13	0.010312408474840795	2
instability	0.008727305380584215	2
L	0.008655924568837459	2
P	0.008287810472890346	2
_PolarizabilityT13	0.00813072907957329	2
_NormalizedVDWVC1	0.008129702741555278	2
_ChargeC3	0.008048769345132496	2
_PolarityD2050	0.007977039555580701	2
_SolventAccessibilityD3075	0.00794446395816684	2
_SecondaryStrC3	0.007525583189636129	2
T	0.007479012084830905	2
_ChargeD3050	0.0070741787573094395	2
_ChargeD2075	0.0070169394629188715	2
G	0.006801650221291353	2
M	0.006372582341289987	2
