feature	mean_abs_shap	repeat
P	0.582457102282955	2
pI	0.5607377340503733	2
instability	0.3291456943506493	2
E	0.3075257699608921	2
_SolventAccessibilityD3001	0.2987402276165086	2
_ChargeC3	0.28499256463794154	2
_SecondaryStrD3001	0.27349393238467734	2
_SolventAccessibilityD1050	0.2667544135805511	2
_PolarizabilityD1100	0.2538085249030809	2
_PolarizabilityD2100	0.24430616697776714	2
_ChargeT23	0.24078029247297678	2
_SolventAccessibilityD3075	0.23169834190118133	2
_SecondaryStrC3	0.2313769365629415	2
_PolarizabilityD2025	0.19169546579262534	2
_PolarityD1075	0.18656760966934954	2
_HydrophobicityT13	0.18542338929332614	2
_SecondaryStrC1	0.17889694641534878	2
_HydrophobicityD3025	0.17762174759083427	2
_SecondaryStrD1100	0.17540272992226533	2
_PolarizabilityD3025	0.1714870484205749	2
