feature	mean_abs_shap	repeat
pI	0.008604907595268598	1
_ChargeC3	0.007116117049720344	1
_SecondaryStrC3	0.007049378539395465	1
_NormalizedVDWVC1	0.006233942098963996	1
_ChargeT23	0.005831607692055224	1
_HydrophobicityT12	0.005789558814321203	1
EY	0.005645788291516549	1
_HydrophobicityC3	0.0055285446806075346	1
_PolarityC1	0.005129673608103467	1
_ChargeC1	0.004922924613425215	1
P	0.004772486873514868	1
_SolventAccessibilityT23	0.004725794390125277	1
instability	0.0046753367551704535	1
_HydrophobicityD3001	0.004645552131580497	1
_SecondaryStrC1	0.0046036653193043744	1
_ChargeD3050	0.004599035159304375	1
IP	0.004517607005318759	1
length	0.004434149632859039	1
FE	0.004338089582794175	1
E	0.004247617898557187	1
