feature	mean_abs_shap	repeat
pI	0.015971593108711095	1
_ChargeC3	0.011431887240925965	1
_ChargeT23	0.011021265537079926	1
P	0.009391664946227708	1
length	0.009068317681777217	1
E	0.008763754076058033	1
DF	0.00772568065511132	1
_SecondaryStrC3	0.007711529276124224	1
_SecondaryStrD3001	0.006312335843028623	1
_PolarizabilityD2001	0.006000803957236487	1
instability	0.005947227091335776	1
_HydrophobicityT12	0.005751117607106865	1
_ChargeD2001	0.0054723621803791506	1
mw	0.0053938858810370785	1
IP	0.005384940028420712	1
_PolarizabilityT13	0.004835277147007248	1
_PolarityT23	0.004826453185219464	1
_HydrophobicityC3	0.00474691622635987	1
EY	0.004573752802168201	1
_NormalizedVDWVC1	0.004556899379717207	1
