feature	mean_abs_shap	repeat
mw	0.01202559858273273	2
length	0.011807877581949656	2
EY	0.009252016136556596	2
DF	0.00887076755059256	2
pI	0.0071220087151373955	2
NA	0.005446692296570682	2
EE	0.005326577491410434	2
PE	0.005260930589423461	2
GH	0.005174381470792283	2
_ChargeC3	0.005039745039173165	2
IP	0.005000625420541323	2
AE	0.00486193232578549	2
FE	0.004708573480039358	2
_HydrophobicityT12	0.004414516502933943	2
_ChargeT23	0.004168382520754339	2
P	0.00415676100951061	2
instability	0.004129284274375327	2
YP	0.0041169499221843636	2
_SecondaryStrC3	0.004100310599765482	2
_SolventAccessibilityD3075	0.003821447928779427	2
