feature	mean_abs_shap	repeat
P	0.4966717929107253	2
pI	0.46321508767000347	2
instability	0.3193807255433858	2
_ChargeC3	0.3157231745814206	2
E	0.2901191469518818	2
_ChargeT23	0.2518582945829767	2
_PolarizabilityD1100	0.24628148321993276	2
_HydrophobicityT13	0.21918457267154007	2
_SecondaryStrD3001	0.19284903283108726	2
_PolarizabilityD2001	0.18978986972443818	2
_SecondaryStrC3	0.189101414464858	2
_HydrophobicityD3025	0.1758509066978587	2
_SecondaryStrC1	0.16278479511975275	2
_SecondaryStrD1001	0.1627362327373703	2
_SolventAccessibilityD1050	0.1604629868248739	2
_ChargeT13	0.1603296645423252	2
_ChargeD1100	0.1580545422700379	2
_HydrophobicityT12	0.1529118687082373	2
_PolarizabilityD2100	0.14869579151948709	2
_SecondaryStrD1100	0.14784497353286133	2
