feature,mean_abs_shap,seed,best_model,rank
E,0.756123423576355,0,xgboost,1
length,0.6661362648010254,0,xgboost,2
P,0.6658228039741516,0,xgboost,3
M,0.6131004691123962,0,xgboost,4
pI,0.4938797056674957,0,xgboost,5
I,0.367590069770813,0,xgboost,6
G,0.3637336492538452,0,xgboost,7
L,0.33039191365242004,0,xgboost,8
Y,0.30071794986724854,0,xgboost,9
D,0.27597323060035706,0,xgboost,10
T,0.25986751914024353,0,xgboost,11
mw,0.2588370442390442,0,xgboost,12
instability,0.18092836439609528,0,xgboost,13
A,0.12616907060146332,0,xgboost,14
R,0.1240023523569107,0,xgboost,15
S,0.08422894775867462,0,xgboost,16
W,0.07456614822149277,0,xgboost,17
C,0.06323447078466415,0,xgboost,18
K,0.06007565185427666,0,xgboost,19
N,0.044735945761203766,0,xgboost,20
V,0.04436838626861572,0,xgboost,21
Q,0.034938324242830276,0,xgboost,22
aromaticity,0.027388442307710648,0,xgboost,23
F,0.016749249771237373,0,xgboost,24
H,0.01035359501838684,0,xgboost,25
P,0.8760191202163696,1,xgboost,1
length,0.8515630960464478,1,xgboost,2
pI,0.6592633724212646,1,xgboost,3
M,0.5326905250549316,1,xgboost,4
S,0.4210296869277954,1,xgboost,5
E,0.34856003522872925,1,xgboost,6
instability,0.333805114030838,1,xgboost,7
L,0.3077400326728821,1,xgboost,8
mw,0.23748046159744263,1,xgboost,9
Y,0.231011301279068,1,xgboost,10
V,0.19562751054763794,1,xgboost,11
R,0.16080625355243683,1,xgboost,12
F,0.11806735396385193,1,xgboost,13
W,0.09947679191827774,1,xgboost,14
D,0.09712444990873337,1,xgboost,15
T,0.09454100579023361,1,xgboost,16
I,0.09134463220834732,1,xgboost,17
K,0.07621706277132034,1,xgboost,18
G,0.07176508754491806,1,xgboost,19
A,0.05808266997337341,1,xgboost,20
N,0.049612779170274734,1,xgboost,21
aromaticity,0.04940436780452728,1,xgboost,22
C,0.04202428460121155,1,xgboost,23
H,0.021089203655719757,1,xgboost,24
Q,0.009932480752468109,1,xgboost,25
pI,0.6822458505630493,2,xgboost,1
P,0.6386920809745789,2,xgboost,2
E,0.6184239387512207,2,xgboost,3
length,0.5276048183441162,2,xgboost,4
M,0.40646523237228394,2,xgboost,5
I,0.40187013149261475,2,xgboost,6
Y,0.30406108498573303,2,xgboost,7
mw,0.300062358379364,2,xgboost,8
L,0.29635727405548096,2,xgboost,9
instability,0.2715938687324524,2,xgboost,10
T,0.25057291984558105,2,xgboost,11
C,0.22205573320388794,2,xgboost,12
R,0.21671804785728455,2,xgboost,13
D,0.1866529881954193,2,xgboost,14
W,0.18350382149219513,2,xgboost,15
F,0.17999082803726196,2,xgboost,16
aromaticity,0.17769072949886322,2,xgboost,17
G,0.16746670007705688,2,xgboost,18
K,0.1445319652557373,2,xgboost,19
V,0.14386385679244995,2,xgboost,20
N,0.1029447466135025,2,xgboost,21
Q,0.05523509904742241,2,xgboost,22
S,0.04040396213531494,2,xgboost,23
A,0.026551388204097748,2,xgboost,24
H,0.011769380420446396,2,xgboost,25
P,0.8186737895011902,3,xgboost,1
length,0.7226492166519165,3,xgboost,2
E,0.5311970710754395,3,xgboost,3
pI,0.47034594416618347,3,xgboost,4
M,0.40639907121658325,3,xgboost,5
V,0.31609079241752625,3,xgboost,6
L,0.3102533519268036,3,xgboost,7
instability,0.3064591884613037,3,xgboost,8
R,0.23989127576351166,3,xgboost,9
K,0.2040095180273056,3,xgboost,10
I,0.20250225067138672,3,xgboost,11
S,0.20185598731040955,3,xgboost,12
W,0.1841955929994583,3,xgboost,13
mw,0.1767292618751526,3,xgboost,14
Y,0.1671873927116394,3,xgboost,15
F,0.14738616347312927,3,xgboost,16
G,0.14599820971488953,3,xgboost,17
Q,0.12388685345649719,3,xgboost,18
T,0.11218740791082382,3,xgboost,19
aromaticity,0.09926624596118927,3,xgboost,20
D,0.09064159542322159,3,xgboost,21
A,0.07051438838243484,3,xgboost,22
C,0.07001931965351105,3,xgboost,23
N,0.02750127762556076,3,xgboost,24
H,0.009917316026985645,3,xgboost,25
P,0.024104867155052764,4,svm_rbf,1
length,0.0164938171098251,4,svm_rbf,2
pI,0.015905084967227315,4,svm_rbf,3
mw,0.0146164054217508,4,svm_rbf,4
W,0.011627842359906082,4,svm_rbf,5
L,0.011363438166928927,4,svm_rbf,6
D,0.010058260844554278,4,svm_rbf,7
I,0.009516079770712343,4,svm_rbf,8
T,0.009340509115108319,4,svm_rbf,9
G,0.009185720673622104,4,svm_rbf,10
C,0.008693266249172483,4,svm_rbf,11
K,0.0083006723285842,4,svm_rbf,12
E,0.007466937672012568,4,svm_rbf,13
