feature,times_in_top_20,fraction_of_splits,mean_rank,median_rank,mean_abs_shap_across_splits,std_abs_shap_across_splits
P,10,1.0,2.4,1.5,0.36789179521013554,0.36648063219107463
length,10,1.0,4.2,3.5,0.3403102963229036,0.3473318739624823
pI,10,1.0,2.4,2.5,0.3177270400079805,0.3025831368959783
E,10,1.0,5.3,3.0,0.2907595811041351,0.2986609065532819
M,10,1.0,8.0,5.5,0.25564322747615614,0.26288168738806145
I,10,1.0,9.6,8.5,0.16483434128205857,0.1970418815923783
L,10,1.0,8.9,9.5,0.15245166669848223,0.14971513542119286
mw,10,1.0,8.4,8.5,0.13927688040041347,0.1321325929318363
G,10,1.0,12.2,11.5,0.09908053280439004,0.11624487192327813
W,10,1.0,12.6,14.5,0.07222251463369819,0.07237516629999394
instability,9,0.9,10.8,8.5,0.13843199954705596,0.13657938671217862
V,9,0.9,11.8,11.5,0.08611279081562355,0.10314894723147171
D,9,0.9,13.7,14.5,0.08096491647981499,0.08996209202986097
K,9,0.9,16.2,17.0,0.05975358908393631,0.06823084575941582
Y,8,0.8,13.5,11.5,0.12425277632406868,0.1292187026227823
T,8,0.8,13.8,11.5,0.09601918039707588,0.1047844689324163
F,8,0.8,17.9,16.0,0.06318530193152327,0.07363887495103469
C,8,0.8,14.9,15.0,0.05885324726990351,0.0702079071594109
R,7,0.7,15.9,14.0,0.10796166324648526,0.11849269292598189
S,6,0.6,18.1,20.0,0.08045776797547913,0.13462973423569474
aromaticity,6,0.6,19.7,19.5,0.04930670995424897,0.060770201272736205
N,6,0.6,18.7,19.5,0.03016507802912984,0.030953973345264413
A,4,0.4,20.4,22.0,0.03850506079115603,0.04269538938374672
Q,2,0.2,22.0,22.5,0.02818699907698823,0.038409366174539744
H,1,0.1,23.6,24.5,0.008017228923811116,0.005614579666546654
