feature,mean_abs_shap,seed,best_model,rank
pI,0.03691543843365666,5,knn,1
instability,0.025951369381348916,5,knn,2
C,0.02544231951195728,5,knn,3
P,0.020413478676117567,5,knn,4
W,0.018393444815632373,5,knn,5
G,0.016980561458466558,5,knn,6
V,0.016188098935093757,5,knn,7
I,0.01573580188986705,5,knn,8
length,0.015169027175568535,5,knn,9
L,0.014808170478490826,5,knn,10
D,0.013172278106904318,5,knn,11
mw,0.011841070085323735,5,knn,12
A,0.01091113765493331,5,knn,13
Y,0.00984130644399958,5,knn,14
E,0.009578795940881658,5,knn,15
F,0.009389821485424384,5,knn,16
K,0.009145933486211478,5,knn,17
aromaticity,0.008314005092519405,5,knn,18
N,0.007824155682870738,5,knn,19
M,0.007429259791292009,5,knn,20
