seed,best_model,model,val_mcc,val_accuracy,val_f1,val_precision,val_recall,test_mcc,test_accuracy,test_f1,test_precision,test_recall
0,svm_rbf,svm_rbf,0.7915285842451476,0.9428571428571428,0.8235294117647058,0.875,0.7777777777777778,0.7783040514449475,0.9428571428571428,0.7857142857142857,1.0,0.6470588235294118
1,svm_rbf,svm_rbf,0.7767551850454794,0.9428571428571428,0.8,0.9230769230769231,0.7058823529411765,0.8618420371603257,0.9619047619047619,0.8823529411764706,0.9375,0.8333333333333334
2,svm_rbf,svm_rbf,0.8253126141202305,0.9523809523809523,0.8484848484848485,0.9333333333333333,0.7777777777777778,0.820797503120229,0.9523809523809523,0.8484848484848485,0.875,0.8235294117647058
3,svm_rbf,svm_rbf,0.8618420371603257,0.9619047619047619,0.8823529411764706,0.9375,0.8333333333333334,0.820797503120229,0.9523809523809523,0.8484848484848485,0.875,0.8235294117647058
4,svm_rbf,svm_rbf,0.8975274678557507,0.9714285714285714,0.9090909090909091,1.0,0.8333333333333334,0.7783040514449475,0.9428571428571428,0.7857142857142857,1.0,0.6470588235294118
5,logistic_regression,logistic_regression,0.820797503120229,0.9523809523809523,0.8484848484848485,0.875,0.8235294117647058,0.6570183044350496,0.8952380952380953,0.717948717948718,0.6666666666666666,0.7777777777777778
6,xgboost,xgboost,0.8623164985025762,0.9619047619047619,0.875,1.0,0.7777777777777778,0.7360081490818708,0.9333333333333333,0.7586206896551724,0.9166666666666666,0.6470588235294118
7,logistic_regression,logistic_regression,0.820797503120229,0.9523809523809523,0.8484848484848485,0.875,0.8235294117647058,0.8090094444882143,0.9428571428571428,0.8421052631578947,0.8,0.8888888888888888
8,svm_rbf,svm_rbf,0.8549556701145169,0.9619047619047619,0.875,0.9333333333333333,0.8235294117647058,0.8618420371603257,0.9619047619047619,0.8823529411764706,0.9375,0.8333333333333334
9,svm_rbf,svm_rbf,0.8623164985025762,0.9619047619047619,0.875,1.0,0.7777777777777778,0.928840728025648,0.9809523809523809,0.9375,1.0,0.8823529411764706
