feature,mean_abs_shap,seed,best_model,rank
length,0.011444358579217473,3,svm_rbf,1
mw,0.010143946690306471,3,svm_rbf,2
C,0.009033233836080474,3,svm_rbf,3
_SecondaryStrC3,0.006655072112374554,3,svm_rbf,4
instability,0.0058471285783926515,3,svm_rbf,5
P,0.0057893384967860175,3,svm_rbf,6
T,0.005387229589308775,3,svm_rbf,7
_PolarizabilityD2001,0.0036653973997166278,3,svm_rbf,8
_NormalizedVDWVD1001,0.003583557631086151,3,svm_rbf,9
_PolarizabilityT23,0.0034046826482759373,3,svm_rbf,10
_HydrophobicityT12,0.003341480288999188,3,svm_rbf,11
_HydrophobicityC3,0.0033366093214429104,3,svm_rbf,12
_PolarizabilityD2075,0.003252643962187322,3,svm_rbf,13
_SecondaryStrD1100,0.003045375711083957,3,svm_rbf,14
_SecondaryStrC2,0.0029675248214748413,3,svm_rbf,15
_SecondaryStrC1,0.0029556708464886956,3,svm_rbf,16
_SolventAccessibilityD2050,0.0028585152679220295,3,svm_rbf,17
_PolarizabilityD2050,0.002851713453802567,3,svm_rbf,18
_PolarizabilityC3,0.002759475809987536,3,svm_rbf,19
Q,0.0026166182102975504,3,svm_rbf,20
