feature,mean_abs_shap,seed,best_model,rank
_HydrophobicityD2001,0.00968673187168724,9,svm_rbf,1
length,0.009414812639623803,9,svm_rbf,2
_HydrophobicityD3050,0.007603198620139238,9,svm_rbf,3
YT,0.007278665391506392,9,svm_rbf,4
_HydrophobicityT23,0.006519793310000161,9,svm_rbf,5
_HydrophobicityC1,0.00599342487905442,9,svm_rbf,6
YY,0.005711271250595666,9,svm_rbf,7
WC,0.005038836894560081,9,svm_rbf,8
RR,0.0048696293685847715,9,svm_rbf,9
_NormalizedVDWVC1,0.004561146615384223,9,svm_rbf,10
CF,0.004068848673375424,9,svm_rbf,11
WL,0.004039503048445815,9,svm_rbf,12
AI,0.003951893485180081,9,svm_rbf,13
_SecondaryStrT12,0.0039307468142633,9,svm_rbf,14
_SolventAccessibilityD2075,0.003469097327268276,9,svm_rbf,15
LE,0.0034032436774863077,9,svm_rbf,16
FP,0.003246871909672515,9,svm_rbf,17
WA,0.003217377110321438,9,svm_rbf,18
mw,0.0032077405808591036,9,svm_rbf,19
YQ,0.0030609365732083625,9,svm_rbf,20
