feature	mean_abs_shap
pI	0.548906056152587
P	0.5420491413173323
instability	0.336973620881664
E	0.31741157636875295
_SolventAccessibilityD3001	0.3045555366934626
_ChargeC3	0.2937147252228576
_SecondaryStrD3001	0.2875478458925965
_SolventAccessibilityD1050	0.26339284976827915
_PolarizabilityD1100	0.26045401348103775
_SolventAccessibilityD3075	0.25208273858532776
_SecondaryStrC3	0.24303544234249272
_PolarizabilityD2100	0.2428321359911002
_ChargeT23	0.24170989751447916
_PolarizabilityD3025	0.20018716538369194
_PolarizabilityD2025	0.19901610785148807
_PolarityD1075	0.19359682599431832
_HydrophobicityD3025	0.1873124469369476
_SecondaryStrC1	0.18312763391172623
_SecondaryStrD1100	0.18237650516352738
_NormalizedVDWVD2001	0.17904208605175367
_HydrophobicityT13	0.17535966301616274
_PolarityD2100	0.17325840333730444
_ChargeT13	0.17320985719515603
_HydrophobicityT12	0.1677791302072815
_ChargeD1100	0.1653928689266555
_PolarizabilityT13	0.14622968375757336
_SecondaryStrD1001	0.14610202349468598
I	0.14253803653027858
_SecondaryStrD3050	0.13870221658749507
_NormalizedVDWVC1	0.11265163197964431
_PolarityT23	0.10893352430413943
_PolarizabilityD2001	0.10733991199564188
_SecondaryStrD2001	0.10719617799120025
_SolventAccessibilityD2050	0.1069136100266594
_HydrophobicityD3100	0.10681845896393061
length	0.10392419105619195
Q	0.09438313570672766
M	0.09323742104689009
_PolarityD2025	0.09150636858920916
G	0.09146093990425
_ChargeC2	0.08984177854421428
_SolventAccessibilityD3050	0.08734031471633355
_ChargeD3050	0.08545386486230416
_NormalizedVDWVT12	0.08533151395861059
D	0.08411468621677486
S	0.0834355566032347
R	0.08310894657380413
Y	0.08087725579786348
_SecondaryStrT13	0.07823724184304007
_SecondaryStrD1075	0.0782028763410868
L	0.07321984356294271
_SolventAccessibilityC1	0.07164799904098179
_NormalizedVDWVT23	0.071235445587337
_PolarizabilityT12	0.068142587084102
_HydrophobicityC3	0.06709484790157877
_SecondaryStrD1025	0.06540112865277334
_SolventAccessibilityD3100	0.06528026996343395
_PolarizabilityT23	0.06305748188488652
_PolarizabilityD3100	0.0618365113826818
_SolventAccessibilityD1075	0.060509835912194124
_PolarizabilityD2075	0.059133385122322954
_PolarizabilityD1050	0.058365955386159483
_ChargeD3075	0.058352661932772026
_SolventAccessibilityD2025	0.058338046654080974
_PolarityD2050	0.05589659081350544
_ChargeD3025	0.05093005190202385
T	0.04908288351198428
_PolarizabilityD1025	0.04633537451054435
