seed,best_model,model,val_mcc,val_accuracy,val_f1,val_precision,val_recall,test_mcc,test_accuracy,test_f1,test_precision,test_recall
0,random_forest,random_forest,0.8264206038650982,0.9523809523809523,0.8387096774193549,1.0,0.7222222222222222,0.7783040514449475,0.9428571428571428,0.7857142857142857,1.0,0.6470588235294118
1,logistic_regression,logistic_regression,0.820797503120229,0.9523809523809523,0.8484848484848485,0.875,0.8235294117647058,0.8364388735388757,0.9523809523809523,0.8648648648648649,0.8421052631578947,0.8888888888888888
2,svm_rbf,svm_rbf,0.7520657131391064,0.9333333333333333,0.7586206896551724,1.0,0.6111111111111112,0.8927371841115679,0.9714285714285714,0.9090909090909091,0.9375,0.8823529411764706
3,random_forest,random_forest,0.8623164985025762,0.9619047619047619,0.875,1.0,0.7777777777777778,0.7783040514449475,0.9428571428571428,0.7857142857142857,1.0,0.6470588235294118
4,logistic_regression,logistic_regression,0.8733624684815949,0.9619047619047619,0.8947368421052632,0.85,0.9444444444444444,0.8290866963944723,0.9523809523809523,0.8571428571428571,0.8333333333333334,0.8823529411764706
5,svm_rbf,svm_rbf,0.8172708784757683,0.9523809523809523,0.8275862068965517,1.0,0.7058823529411765,0.8264206038650982,0.9523809523809523,0.8387096774193549,1.0,0.7222222222222222
6,svm_rbf,svm_rbf,0.8975274678557507,0.9714285714285714,0.9090909090909091,1.0,0.8333333333333334,0.8172708784757683,0.9523809523809523,0.8275862068965517,1.0,0.7058823529411765
7,svm_rbf,svm_rbf,0.8163443762793043,0.9523809523809523,0.8387096774193549,0.9285714285714286,0.7647058823529411,0.8623164985025762,0.9619047619047619,0.875,1.0,0.7777777777777778
8,svm_rbf,svm_rbf,0.8172708784757683,0.9523809523809523,0.8275862068965517,1.0,0.7058823529411765,0.8618420371603257,0.9619047619047619,0.8823529411764706,0.9375,0.8333333333333334
9,svm_rbf,svm_rbf,0.8623164985025762,0.9619047619047619,0.875,1.0,0.7777777777777778,0.9646768651029068,0.9904761904761905,0.9696969696969697,1.0,0.9411764705882353
