feature,times_in_top_20,fraction_of_splits,mean_rank,median_rank,mean_abs_shap_across_splits,std_abs_shap_across_splits
length,6,0.6,18.4,11.0,0.07841443323077875,0.15334261856581202
mw,6,0.6,24.1,12.0,0.07627702817176486,0.14752361224361912
pI,4,0.4,66.2,56.0,0.053184025427726545,0.10140839367223567
P,4,0.4,105.8,65.0,0.0403579550569287,0.07629058503318807
_ChargeT23,4,0.4,148.6,54.0,0.035758593780090824,0.05467644242900396
_SecondaryStrC3,4,0.4,94.8,54.5,0.033049626138196335,0.06289432182141298
_HydrophobicityT12,4,0.4,178.5,115.5,0.02936506304069375,0.05457163236589218
_SecondaryStrD2075,3,0.3,182.4,84.5,387101000208.265,1224120845187.3342
EY,3,0.3,116.2,53.5,0.030296915676861397,0.05833065149051217
DF,3,0.3,104.8,42.0,0.029031187953762694,0.05339963350977333
FE,3,0.3,47.3,33.5,0.026350270686056082,0.04737172107115396
M,3,0.3,134.3,71.5,0.022146761609843656,0.044423332828800566
_SecondaryStrD1100,3,0.3,124.7,91.0,0.01940479359047742,0.03809801138024515
PE,3,0.3,120.1,80.0,0.019001245729874473,0.03337329686259258
_PolarityT23,3,0.3,99.7,40.0,0.01652650004924527,0.029010182954196714
G,3,0.3,81.2,53.5,0.01645686146515201,0.0338579684956432
IG,2,0.2,277.0,260.5,3620143191273.0796,11447897940373.496
DM,2,0.2,270.1,325.0,2614102695067.7075,8266518553998.516
KQ,2,0.2,281.7,358.5,830724132402.6597,2626980365659.6772
FY,2,0.2,281.6,356.0,50751662606.17882,160490848875.8717
K,2,0.2,143.9,79.5,36569112227.755844,115641686649.96004
TG,2,0.2,237.4,256.5,0.03708609012311761,0.07763050708197476
YD,2,0.2,232.9,235.5,0.03646523607472289,0.07867842211296776
_SolventAccessibilityD1050,2,0.2,227.6,184.5,0.03198327787087419,0.06692525298558827
_ChargeD3050,2,0.2,196.6,124.0,0.030348237902202445,0.06254638750988692
_PolarizabilityT13,2,0.2,113.6,37.5,0.030186484298116507,0.059505919507841135
_SolventAccessibilityD3050,2,0.2,149.8,74.5,0.029555363435533305,0.060040833241000194
_HydrophobicityC3,2,0.2,135.1,109.0,0.029330950519897488,0.05785042658300671
_ChargeC3,2,0.2,142.5,144.0,0.028430468522781138,0.05053228192004195
IP,2,0.2,81.0,74.0,0.028122521737173202,0.05860813648251436
E,2,0.2,142.9,34.5,0.02799806050935912,0.05077332701797461
_NormalizedVDWVC1,2,0.2,100.2,52.0,0.022490918419754844,0.04081219106501992
instability,2,0.2,167.5,94.0,0.022068365644488486,0.04570156024768114
EL,2,0.2,243.2,184.0,0.020013943675965713,0.05230810472834891
_NormalizedVDWVC3,2,0.2,188.7,84.5,0.01935215803838256,0.036226346338760214
QG,2,0.2,188.0,167.5,0.01838573909495258,0.03854596594636364
_PolarityD3100,2,0.2,211.3,143.5,0.015825551532335076,0.02885832262274822
_ChargeT13,2,0.2,155.2,127.5,0.012304216209531295,0.022294640049571518
V,2,0.2,127.4,117.5,0.010880128665586474,0.020482645204671957
AD,2,0.2,251.1,191.5,0.0013947688409857394,0.0012782659027371205
_PolarizabilityD3025,1,0.1,191.5,173.5,110128284133465.22,348256212667932.8
_HydrophobicityD1075,1,0.1,196.0,215.5,110128284133465.2,348256212667932.75
PF,1,0.1,273.5,298.0,3620143191273.0728,11447897940373.494
VC,1,0.1,217.9,262.5,2614102695067.7026,8266518553998.514
FF,1,0.1,238.6,203.5,830724132402.6599,2626980365659.6772
EE,1,0.1,127.1,76.5,548598172594.4157,1734819745604.4368
_SecondaryStrD3050,1,0.1,224.9,159.5,548598172594.4079,1734819745604.4397
_PolarityD1100,1,0.1,165.7,150.0,387101000208.2566,1224120845187.3374
EA,1,0.1,292.6,280.0,254086549681.12347,803492219805.862
TF,1,0.1,311.1,341.5,254086549681.12006,803492219805.8634
KM,1,0.1,329.2,346.0,50751662606.16994,160490848875.87482
AA,1,0.1,259.1,251.5,36569112227.74699,115641686649.96301
SF,1,0.1,185.5,183.0,15277977323.772013,48313206383.47795
FS,1,0.1,327.9,334.5,15277977323.761765,48313206383.48084
CQ,1,0.1,218.6,194.5,0.042045763608671405,0.10253038978423028
PR,1,0.1,255.9,272.0,0.029174045671904715,0.0817584861438475
_NormalizedVDWVD2001,1,0.1,238.8,211.5,0.02916885682979194,0.06021357588927041
L,1,0.1,75.0,62.5,0.027653353455112932,0.05499461749833856
LE,1,0.1,166.1,166.0,0.027187262945605178,0.07294517596195753
_ChargeD1075,1,0.1,185.3,109.5,0.02691028922045738,0.05535948895159247
_SecondaryStrD1075,1,0.1,169.4,135.5,0.026589651806714167,0.05349327532075686
TL,1,0.1,341.0,420.0,0.025185898576785982,0.0645811816751906
EV,1,0.1,164.7,110.0,0.02485317050480758,0.04987646008946062
_SolventAccessibilityD2050,1,0.1,238.3,200.0,0.024585407217879163,0.05112030896758505
_HydrophobicityD1050,1,0.1,212.5,159.5,0.024524991503740212,0.05114912920584606
CL,1,0.1,253.2,163.5,0.023671480797711954,0.05427917692330626
_SecondaryStrC1,1,0.1,122.7,67.0,0.023637059315452853,0.047288010217230225
_SecondaryStrD2050,1,0.1,203.1,185.0,0.022608767482176,0.04619150464395722
YH,1,0.1,339.4,422.5,0.02089787155307649,0.06142214670903627
_HydrophobicityD3100,1,0.1,182.3,129.5,0.02053922131018595,0.045500057836683976
IA,1,0.1,244.3,313.5,0.02019223658065935,0.041394710374356
_PolarizabilityC3,1,0.1,166.2,91.0,0.019438417510599156,0.03618301355337655
_SecondaryStrD3001,1,0.1,167.0,96.0,0.018865875575868586,0.03694403120965441
DD,1,0.1,110.5,97.0,0.018842711232364775,0.03589328596134583
GD,1,0.1,202.5,130.0,0.018802291600459025,0.037274587229907036
_PolarizabilityD2050,1,0.1,171.8,97.0,0.018751618033668854,0.03675348058895545
_ChargeD3075,1,0.1,132.5,61.0,0.018400097082832634,0.036283124200036286
SG,1,0.1,200.9,155.0,0.017999751383287303,0.03784202088220011
AE,1,0.1,161.6,150.0,0.017748689385818254,0.03502111942455338
EG,1,0.1,131.9,111.0,0.01773948926831983,0.035562229456828694
_HydrophobicityD3075,1,0.1,134.3,128.5,0.01687929650731545,0.034105633479890395
LG,1,0.1,179.7,131.0,0.01623326656849222,0.03191107814121241
_SecondaryStrT13,1,0.1,182.2,128.5,0.015069935886007501,0.038625713858895676
_SolventAccessibilityD3075,1,0.1,228.6,187.0,0.015000099108791225,0.03712105779371943
_SolventAccessibilityD3025,1,0.1,215.6,162.0,0.014060117957287335,0.03059118802182619
QV,1,0.1,327.7,378.0,0.01393668301216976,0.0424859212783353
MG,1,0.1,329.5,408.0,0.012425074602640074,0.024816436307351752
SE,1,0.1,320.5,335.5,0.012031794532247625,0.02420684686926164
PC,1,0.1,281.7,287.0,0.012026729761781457,0.023197381452964988
T,1,0.1,241.3,217.0,0.011826332393892322,0.025256578012426513
EI,1,0.1,240.2,249.5,0.011346887881910003,0.022109432868168837
QQ,1,0.1,394.3,445.0,0.011335917016695242,0.03283132600691246
_SolventAccessibilityT12,1,0.1,254.2,181.0,0.011083253733492605,0.020722134800004156
TR,1,0.1,322.8,389.5,0.010842589257456282,0.02165078172137639
MS,1,0.1,261.2,245.5,0.010163828820874275,0.02011463540571224
_HydrophobicityD3025,1,0.1,185.2,135.5,0.009891914498636176,0.019476681576143323
_SolventAccessibilityD3001,1,0.1,271.8,246.0,0.009703878666332905,0.02616309695242499
SL,1,0.1,284.1,275.5,0.009592371347414594,0.019522127540925634
NS,1,0.1,302.7,278.5,0.009105529163081284,0.016866181675688124
_PolarizabilityD2001,1,0.1,181.7,135.5,0.009082196226617352,0.014311377505965384
_PolarityC2,1,0.1,167.0,162.5,0.008991063434699012,0.01608440388583368
_HydrophobicityD2001,1,0.1,251.1,257.5,0.008620133871018096,0.017714749318431852
ID,1,0.1,230.2,269.0,0.00851239115971791,0.01635923696657924
_SolventAccessibilityT23,1,0.1,205.5,170.0,0.008342222422736191,0.013701472109502242
KK,1,0.1,258.0,288.0,0.007555890413793995,0.014228026248538691
_NormalizedVDWVD2100,1,0.1,127.3,106.0,0.007522219021605697,0.01496849430936374
_ChargeD2001,1,0.1,262.4,278.0,0.007394069079756177,0.012900575133891546
TE,1,0.1,286.0,306.5,0.007314965247294217,0.02044614651306449
A,1,0.1,224.3,204.5,0.006865136738014711,0.011573105347659254
NT,1,0.1,314.5,318.0,0.006772900862013684,0.016838048709312516
AN,1,0.1,241.6,236.5,0.006625385625945411,0.017275363626902452
_SecondaryStrD2001,1,0.1,222.8,240.0,0.006434978732722677,0.011184879719286746
QS,1,0.1,245.8,209.5,0.006274649040199668,0.01457573609731367
PS,1,0.1,347.7,375.5,0.006171931510387007,0.014003959124181217
R,1,0.1,223.0,212.5,0.006011893631287069,0.011763077210643073
CV,1,0.1,352.8,367.5,0.005641569015188698,0.016077693104550508
_HydrophobicityD2025,1,0.1,236.3,234.5,0.00502244727194051,0.007739416094520821
_SolventAccessibilityT13,1,0.1,283.9,329.0,0.004074986486402683,0.00790655442883746
RQ,1,0.1,322.7,321.0,0.004061477334662765,0.009412053022998365
MQ,1,0.1,337.2,394.0,0.0038529015714626746,0.006205759531582718
HQ,1,0.1,334.8,400.0,0.0037158552727795417,0.008685888361968512
_PolarityT13,1,0.1,243.0,196.0,0.0036869429095182454,0.005713849971676145
YY,1,0.1,349.2,348.0,0.0033621901380671065,0.007722775132883071
IH,1,0.1,299.6,313.0,0.003334907873879015,0.005957033365743571
_SolventAccessibilityD1025,1,0.1,317.7,371.5,0.0033106166882970493,0.005884045304525227
_SolventAccessibilityD2025,1,0.1,273.3,347.5,0.003278900309742063,0.004801285601010246
QN,1,0.1,280.3,344.0,0.0032399889489333434,0.006188614527332199
KP,1,0.1,296.0,297.0,0.003172239906148111,0.006644206724881362
YI,1,0.1,302.3,355.5,0.0025368171380573444,0.006039724802054118
WF,1,0.1,368.4,440.5,0.0022827388628162575,0.0037195500043814534
QK,1,0.1,318.7,371.0,0.001743185078852253,0.0020101525101209926
TT,1,0.1,383.9,454.0,0.0015913245097987764,0.0025457329995575
