feature,mean_abs_shap,seed,best_model,rank
_ChargeC3,0.018729526310117834,3,random_forest,1
pI,0.016283410404111288,3,random_forest,2
P,0.01610959183830919,3,random_forest,3
_SecondaryStrC3,0.01395653860868975,3,random_forest,4
_ChargeT23,0.013790976558139625,3,random_forest,5
length,0.01328117066735856,3,random_forest,6
DF,0.011634218736924091,3,random_forest,7
E,0.010981222061603351,3,random_forest,8
_HydrophobicityT12,0.009905433297275152,3,random_forest,9
EY,0.009177367995877152,3,random_forest,10
PE,0.008814431477887292,3,random_forest,11
_HydrophobicityC3,0.008703266866238419,3,random_forest,12
K,0.007830296755395788,3,random_forest,13
_NormalizedVDWVC3,0.0070057691870940245,3,random_forest,14
instability,0.006955854361570704,3,random_forest,15
_SecondaryStrD1100,0.006835419590199097,3,random_forest,16
IP,0.006691967366566045,3,random_forest,17
_PolarizabilityT13,0.0065306684325500885,3,random_forest,18
_ChargeD2001,0.006237019258340425,3,random_forest,19
_ChargeT13,0.006185849280331881,3,random_forest,20
