feature	mean_abs_shap
pI	0.06529544716792289
P	0.055220732749584694
E	0.051613883503349285
length	0.03240226810931538
instability	0.029422833337429188
mw	0.028898479154501614
D	0.01970781640522475
K	0.014221452361881486
L	0.014067875588971586
I	0.013804608391146929
M	0.010880483787516116
Y	0.009611328589246826
G	0.006584391216031052
T	0.005932561906875978
C	0.005886484463899055
F	0.005796162813541985
R	0.0054937902177929114
V	0.005217855510964061
aromaticity	0.005083352201797179
N	0.004662723476548487
