feature	mean_abs_shap
mw	0.025661652896479405
length	0.02550940418162162
C	0.019763970871632928
pI	0.01304852586837271
_ChargeD3050	0.011290093590163926
_HydrophobicityT12	0.010873941564398729
_ChargeT23	0.010741892668532588
_NormalizedVDWVC1	0.010028534580984532
instability	0.009753845696418462
_SecondaryStrC3	0.009533039845095823
_ChargeC3	0.008715596824727763
_ChargeD1100	0.008631182109018467
_ChargeD3075	0.008220775400343465
_PolarityC1	0.00819990613653375
_PolarizabilityC3	0.007842563243982557
_NormalizedVDWVC3	0.007680092937708279
_HydrophobicityC3	0.007629438631031902
_SecondaryStrC1	0.007543139089668772
P	0.007512909642246656
_SolventAccessibilityT23	0.007217456231838467
