feature	mean_abs_shap
mw	0.05811988260019766
length	0.05578302690811639
_PolarizabilityD2100	0.04456503344585622
_SolventAccessibilityD1050	0.04066568265331744
_SecondaryStrD2100	0.04045090459058961
C	0.03842102539295547
_ChargeD1100	0.03654273844022788
_HydrophobicityD3100	0.03559011784051299
_ChargeD3050	0.03457621154325339
_SolventAccessibilityD3001	0.032416328898609625
_SecondaryStrT13	0.03231692696612822
_HydrophobicityT13	0.030875581798104252
_PolarityD2100	0.03044766145581845
instability	0.02958428217460271
_PolarityD1100	0.0291969700929072
W	0.027396134913985175
_SecondaryStrD1001	0.026858602501709718
_PolarizabilityD1075	0.02674646285783479
_PolarityD2075	0.026558609383596308
_SecondaryStrT23	0.02635232579370837
