feature	mean_abs_shap
_ChargeC3	0.023572767820079023
pI	0.02250713844072816
P	0.01864561555819988
_ChargeT23	0.01852570529358678
E	0.017391223379469082
_SecondaryStrC3	0.015241411664921397
length	0.010504138152593082
_SecondaryStrD3001	0.00890793595587044
_PolarizabilityD2001	0.008531212730650318
_ChargeD2001	0.008525534292959613
_HydrophobicityT12	0.008439041618715726
instability	0.008075547725106545
_HydrophobicityC3	0.007579247959742738
_PolarizabilityD2100	0.00748316280048894
_PolarityT23	0.00719330381891438
D	0.006879616529008609
_ChargeC1	0.006321630884735107
_PolarizabilityD2075	0.005914358861543585
_SecondaryStrD1100	0.0058261878665165565
K	0.005515996317538639
