feature	mean_abs_shap
length	0.04497707110334982
mw	0.042816932716585994
pI	0.030437516608168905
C	0.029372708304959846
_SolventAccessibilityD1050	0.028103469223842107
_ChargeD1100	0.01998160600939044
_PolarizabilityD2100	0.01976742863095388
_PolarizabilityD1050	0.01948719731658917
instability	0.019302630039626862
W	0.0191529237301696
_PolarityD2075	0.018908855567630518
_SecondaryStrD3050	0.01804012308052232
_SolventAccessibilityD3075	0.017922472223096068
_HydrophobicityD3100	0.01766222046996418
G	0.01763046099145847
_ChargeT23	0.016968665285369916
_HydrophobicityT13	0.016454756055531802
_HydrophobicityD2100	0.016251110084190484
_SecondaryStrT23	0.01593130902315439
_SolventAccessibilityD3050	0.01590053691273246
