feature	mean_abs_shap
P	0.4670342786592238
pI	0.4576329771853594
_ChargeC3	0.3075156941807983
instability	0.298514959720394
E	0.298039378872374
_PolarizabilityD2001	0.25879905151625454
_PolarizabilityD1100	0.252592845013891
_ChargeT23	0.23538605023507647
_HydrophobicityT13	0.21189673778652215
_HydrophobicityD3025	0.1907753640628885
_SecondaryStrD3001	0.19008480816838944
_SecondaryStrC3	0.18821983545336016
_SecondaryStrD1001	0.18451281915373005
EY	0.18148758325672248
_ChargeD1100	0.1792756788367172
_ChargeT13	0.17901807031682693
length	0.16944023389617602
_SecondaryStrC1	0.16750875564830553
_SecondaryStrD1100	0.15942293132681717
_SolventAccessibilityD1050	0.1578605191242027
