dataset	model	rank	feature	mean_abs_shap
pcp_aac	knn	1	pI	0.042656558335130414
pcp_aac	knn	2	length	0.03677683195099483
pcp_aac	knn	3	mw	0.03496366689646802
pcp_aac	knn	4	P	0.03426001476730062
pcp_aac	knn	5	instability	0.028265276612632034
pcp_aac	knn	6	E	0.027244007994727072
pcp_aac	knn	7	C	0.021699021574023307
pcp_aac	knn	8	V	0.0211105573825469
pcp_aac	knn	9	L	0.020160537795581118
pcp_aac	knn	10	M	0.01992582946814833
pcp_aac	knn	11	K	0.01943704257558087
pcp_aac	knn	12	I	0.01757822416821236
pcp_aac	knn	13	W	0.017554347969852037
pcp_aac	knn	14	D	0.0170558083598631
pcp_aac	knn	15	G	0.015740963683301384
pcp_aac	knn	16	N	0.014188921330770118
pcp_aac	knn	17	S	0.012735351748622944
pcp_aac	knn	18	aromaticity	0.012483400539225756
pcp_aac	knn	19	R	0.011915719477022767
pcp_aac	knn	20	T	0.011754453219840741
pcp_aac	logistic_regression	1	pI	0.17793884395803797
pcp_aac	logistic_regression	2	length	0.08910299249786185
pcp_aac	logistic_regression	3	W	0.05625964743665098
pcp_aac	logistic_regression	4	P	0.05358724981242239
pcp_aac	logistic_regression	5	M	0.047236358738656684
pcp_aac	logistic_regression	6	instability	0.03755334176574149
pcp_aac	logistic_regression	7	T	0.03537072820043854
pcp_aac	logistic_regression	8	R	0.030596159429518804
pcp_aac	logistic_regression	9	E	0.0304446713704431
pcp_aac	logistic_regression	10	Q	0.028647745562072065
pcp_aac	logistic_regression	11	I	0.02760694142115303
pcp_aac	logistic_regression	12	G	0.026583693119665835
pcp_aac	logistic_regression	13	K	0.026237607363444767
pcp_aac	logistic_regression	14	C	0.01659713555268487
pcp_aac	logistic_regression	15	mw	0.015507714527997492
pcp_aac	logistic_regression	16	L	0.014436828594627608
pcp_aac	logistic_regression	17	V	0.012893743097921406
pcp_aac	logistic_regression	18	A	0.011571951301363351
pcp_aac	logistic_regression	19	aromaticity	0.009808552709756835
pcp_aac	logistic_regression	20	F	0.008609296463671322
pcp_aac	svm_linear	1	pI	0.07267468893458769
pcp_aac	svm_linear	2	length	0.03833176106678387
pcp_aac	svm_linear	3	E	0.03748348950321456
pcp_aac	svm_linear	4	P	0.03525216706757102
pcp_aac	svm_linear	5	mw	0.03197136809012795
pcp_aac	svm_linear	6	M	0.03138209380940518
pcp_aac	svm_linear	7	W	0.029365271154496587
pcp_aac	svm_linear	8	G	0.024745445262748234
pcp_aac	svm_linear	9	instability	0.024165743303896894
pcp_aac	svm_linear	10	T	0.02142235794118255
pcp_aac	svm_linear	11	L	0.02106491394818577
pcp_aac	svm_linear	12	I	0.016547735292766364
pcp_aac	svm_linear	13	N	0.011552442152000719
pcp_aac	svm_linear	14	F	0.011064129648685053
pcp_aac	svm_linear	15	V	0.009291057616644964
pcp_aac	svm_linear	16	K	0.008949138131789915
pcp_aac	svm_linear	17	Q	0.008768274753551868
pcp_aac	svm_linear	18	A	0.007446937462940773
pcp_aac	svm_linear	19	C	0.0074342890828119745
pcp_aac	svm_linear	20	R	0.006820832996889467
pcp_aac	svm_rbf	1	length	0.03508664976254457
pcp_aac	svm_rbf	2	mw	0.03414301332729661
pcp_aac	svm_rbf	3	pI	0.033489619036691905
pcp_aac	svm_rbf	4	P	0.02684726175715071
pcp_aac	svm_rbf	5	C	0.02462876478170433
pcp_aac	svm_rbf	6	E	0.023526930488001606
pcp_aac	svm_rbf	7	M	0.02169610343646299
pcp_aac	svm_rbf	8	I	0.02130414325596138
pcp_aac	svm_rbf	9	W	0.018174759870269598
pcp_aac	svm_rbf	10	V	0.016868825986090095
pcp_aac	svm_rbf	11	G	0.015441342868360429
pcp_aac	svm_rbf	12	L	0.014969147139781546
pcp_aac	svm_rbf	13	T	0.014649283422952243
pcp_aac	svm_rbf	14	instability	0.013090439330353094
pcp_aac	svm_rbf	15	N	0.013048221948150106
pcp_aac	svm_rbf	16	K	0.012262401575173004
pcp_aac	svm_rbf	17	D	0.011684701189851921
pcp_aac	svm_rbf	18	F	0.010913361312978166
pcp_aac	svm_rbf	19	Q	0.01006001025698512
pcp_aac	svm_rbf	20	A	0.009548098444474703
pcp_aac	xgboost	1	length	1.1168458576126332
pcp_aac	xgboost	2	pI	1.0645453976149595
pcp_aac	xgboost	3	E	0.9467735296639614
pcp_aac	xgboost	4	P	0.8787439715954725
pcp_aac	xgboost	5	F	0.7738788826947854
pcp_aac	xgboost	6	mw	0.7723860277560539
pcp_aac	xgboost	7	Y	0.7467861787903006
pcp_aac	xgboost	8	instability	0.7368613784445492
pcp_aac	xgboost	9	R	0.6452649738936721
pcp_aac	xgboost	10	I	0.6379548230877056
pcp_aac	xgboost	11	M	0.558547623948753
pcp_aac	xgboost	12	L	0.5022966761555951
pcp_aac	xgboost	13	aromaticity	0.4140584516482002
pcp_aac	xgboost	14	G	0.37766900586830454
pcp_aac	xgboost	15	D	0.34432642336447006
pcp_aac	xgboost	16	A	0.266283364476282
pcp_aac	xgboost	17	N	0.2528914304379296
pcp_aac	xgboost	18	T	0.18321255565309352
pcp_aac	xgboost	19	K	0.15632901045891545
pcp_aac	xgboost	20	H	0.1559472106099129
pcp_aac_ctd	knn	1	mw	0.025661652896479405
pcp_aac_ctd	knn	2	length	0.02550940418162162
pcp_aac_ctd	knn	3	C	0.019763970871632928
pcp_aac_ctd	knn	4	pI	0.01304852586837271
pcp_aac_ctd	knn	5	_ChargeD3050	0.011290093590163926
