feature	mean_abs_shap	repeat
pI	0.03959043885667164	2
P	0.03162134594435537	2
instability	0.03152239901382603	2
E	0.028094297732582613	2
L	0.025987941281004966	2
length	0.021322709599840287	2
V	0.02021586601108257	2
W	0.01915703109687448	2
D	0.017786622034060673	2
M	0.017783539101253167	2
mw	0.017036362208894644	2
K	0.016629023376267378	2
I	0.016622255499894274	2
G	0.015826168723202326	2
T	0.015459936476257421	2
F	0.013845957684338803	2
N	0.01331656020381369	2
aromaticity	0.013201387327777519	2
Y	0.012033080819259861	2
C	0.011695166946492997	2
