feature	mean_abs_shap	repeat
pI	0.16642709572428704	3
length	0.07258416659876063	3
W	0.06563743136245853	3
M	0.048528698445229106	3
P	0.045656970402918676	3
instability	0.035113785303715346	3
T	0.030842212199154347	3
R	0.02995928075372164	3
E	0.028792476402912145	3
G	0.028448919146731942	3
I	0.02829593992377169	3
K	0.027058958693612908	3
Q	0.023786111064779552	3
C	0.01556445605023168	3
L	0.015274720461639569	3
mw	0.01345123407007877	3
A	0.01343769704011903	3
V	0.012058829005501917	3
aromaticity	0.011271192210749188	3
D	0.008486544096718635	3
Y	0.008075436360975826	3
F	0.00775225252494267	3
S	0.007104287073819223	3
H	0.0005817268945843393	3
N	0.00013180978230308948	3
