feature	mean_abs_shap	repeat
pI	0.06284092743387094	1
E	0.05234906034789535	1
P	0.05169620479881913	1
length	0.03385991276104415	1
mw	0.030722075746364395	1
instability	0.02907485558946541	1
D	0.01953898457313284	1
I	0.014385526468623825	1
K	0.013982347693617869	1
L	0.013661287894636873	1
M	0.009798783241449177	1
Y	0.008778121269866436	1
C	0.006241723100896026	1
R	0.00622595143325668	1
F	0.00593566020796544	1
G	0.00552631568620046	1
T	0.005349068002725859	1
N	0.005297970088789043	1
V	0.004986607006193508	1
aromaticity	0.004929099440967604	1
