feature	mean_abs_shap	repeat
pI	0.060056066531444616	2
E	0.028691350244027213	2
M	0.02541058242170362	2
P	0.02527003370446256	2
instability	0.025028120797614	2
G	0.02419326341114534	2
L	0.023463936076771462	2
W	0.02303814911734245	2
length	0.02134287998404512	2
T	0.018659601078258745	2
mw	0.017600128624062784	2
I	0.016417414139097884	2
N	0.008132821513053223	2
V	0.008093266590129933	2
F	0.007931684750187412	2
H	0.00656551723321021	2
K	0.006517966700631238	2
R	0.00645286929065488	2
Q	0.006427260723299258	2
A	0.0061870815652086365	2
