feature	mean_abs_shap	repeat
length	0.0396962230168786	1
pI	0.036170939902529516	1
mw	0.03209127392299863	1
E	0.029012568399975697	1
P	0.026367444383481993	1
C	0.024116738962269076	1
M	0.020669676393929838	1
I	0.020486142966840187	1
N	0.016204496511306444	1
V	0.015221185696682937	1
L	0.013964649923966978	1
W	0.013255160300965402	1
Q	0.012877765994222579	1
G	0.012681443018231315	1
K	0.012668282308181771	1
T	0.012283302491267696	1
F	0.011858506745819536	1
instability	0.011245265477886342	1
D	0.011088647156614258	1
R	0.009982834645025257	1
