feature	mean_abs_shap	repeat
pI	1.1200781956110442	3
P	0.9247617059747985	3
E	0.8886622811863079	3
length	0.8737993964390133	3
F	0.7572024847943133	3
Y	0.7270203518692262	3
instability	0.6883615469137322	3
mw	0.6114348655480248	3
I	0.6018208817943974	3
R	0.5869932590140554	3
M	0.5544050081461697	3
L	0.5020917323120574	3
aromaticity	0.3906450383590737	3
G	0.38403199496805324	3
D	0.37908252798164616	3
A	0.25065195355074754	3
N	0.2051250594716781	3
T	0.18009066057942252	3
H	0.15837288449294865	3
K	0.149432795855288	3
W	0.14653265526335457	3
S	0.11950235019609687	3
C	0.11329131719642328	3
V	0.10984774630125614	3
Q	0.046043523944378835	3
