feature	mean_abs_shap	repeat
mw	0.02630870556787323	1
length	0.022866460021709938	1
C	0.021313659513036633	1
pI	0.01525519155829067	1
_ChargeD3050	0.011182859909374987	1
_ChargeD3075	0.011165957736163206	1
_SecondaryStrC3	0.01049120610286267	1
_HydrophobicityT12	0.009995630151787005	1
_SecondaryStrC1	0.009892305847532522	1
_NormalizedVDWVC1	0.009874486140633913	1
_ChargeC3	0.009353559474339407	1
_ChargeT23	0.009062656868481839	1
_SolventAccessibilityD3075	0.008323021602808971	1
_NormalizedVDWVC3	0.008246268173847823	1
instability	0.008100849805500836	1
_PolarityT23	0.00796027319777918	1
_PolarityC1	0.0073176180144301495	1
_HydrophobicityC3	0.007143590260572039	1
_PolarizabilityC3	0.0070920307134405254	1
_SecondaryStrD3050	0.00697729360358214	1
