feature	mean_abs_shap	repeat
length	0.059980049335940124	1
_PolarizabilityD2100	0.057899615278203254	1
mw	0.05467004595677326	1
_SecondaryStrD2100	0.04566239193933834	1
_SolventAccessibilityD1050	0.04152021567390477	1
_PolarityD1100	0.040928321836341	1
C	0.03867529522385439	1
_HydrophobicityD3100	0.03749222413064224	1
_SolventAccessibilityD3001	0.037174969771719676	1
_ChargeD3050	0.036645371450029954	1
_ChargeD1100	0.03564272558386623	1
_SecondaryStrT13	0.03256148518368508	1
_SecondaryStrD1001	0.02980449744089615	1
_PolarizabilityD1075	0.029353718369960924	1
_PolarityD2100	0.029233597325427813	1
_HydrophobicityD3001	0.028923432957339013	1
_PolarityD2075	0.02841975361052173	1
instability	0.02841962060748619	1
_SecondaryStrD3100	0.028323646117618874	1
_SolventAccessibilityD3025	0.027356640740729327	1
