feature	mean_abs_shap	repeat
_ChargeC3	0.02348749685300413	2
pI	0.022446571064211298	2
P	0.01970167164185477	2
_ChargeT23	0.018250318962500955	2
E	0.016761723635624545	2
_SecondaryStrC3	0.01414153867955394	2
_HydrophobicityT12	0.009846569496471374	2
_SecondaryStrD3001	0.008712409740485441	2
_HydrophobicityC3	0.008706965684882561	2
instability	0.008260144076399231	2
_PolarityT23	0.007563918421267772	2
D	0.007527742300882665	2
length	0.007302968795366268	2
_PolarizabilityD2100	0.0068373502114618566	2
_PolarizabilityD2001	0.006172639206661187	2
_ChargeC1	0.006112082927019627	2
_ChargeD2001	0.0059072792222614225	2
_SolventAccessibilityT23	0.005776442900468736	2
_SolventAccessibilityC1	0.005562232835790157	2
_PolarizabilityT13	0.005474588499357879	2
