feature	mean_abs_shap	repeat
length	0.049306144985412984	1
mw	0.047283789180438886	1
pI	0.03290990616455251	1
C	0.029684036652327023	1
_SolventAccessibilityD1050	0.028069443690460688	1
_PolarizabilityD2100	0.02160938492100703	1
_PolarizabilityD1050	0.021568486858356502	1
_PolarityD2075	0.020683734964768736	1
_HydrophobicityD3100	0.019221092566280205	1
_PolarityD1100	0.01887456996493218	1
_ChargeT23	0.01869709613818625	1
_SolventAccessibilityD3075	0.01845635142321416	1
instability	0.01835451829810173	1
_SecondaryStrD3050	0.01827586213309445	1
_HydrophobicityD2100	0.018237207749824697	1
_ChargeD1100	0.01775154847632216	1
_SecondaryStrT13	0.01766203290502453	1
_SecondaryStrD2100	0.016861165046760957	1
_HydrophobicityD3001	0.01681053502953902	1
_SolventAccessibilityD3050	0.01644148337978578	1
