feature	mean_abs_shap	repeat
mw	0.02210888484195585	3
length	0.021246121889336163	3
C	0.019519293610957267	3
pI	0.012147736101274368	3
_SecondaryStrT13	0.010193225918726607	3
_SolventAccessibilityD1050	0.009771533262722195	3
P	0.008485073050428971	3
_PolarizabilityT13	0.008199781792334031	3
_NormalizedVDWVC1	0.007922871533343789	3
L	0.00781937448542096	3
_ChargeD3050	0.007534688000789369	3
_SolventAccessibilityD3075	0.007521249410014705	3
_ChargeC3	0.007472771020474016	3
_ChargeT13	0.006932023680606728	3
_SecondaryStrC3	0.006791336911707579	3
T	0.006787945421133278	3
_PolarityD2050	0.0067511638389465755	3
_ChargeD2075	0.006268352669925302	3
_ChargeT23	0.006068453599478977	3
_SecondaryStrD2075	0.0058587486449650315	3
_SecondaryStrD1100	0.005822797026321183	3
M	0.005802747046661235	3
_PolarizabilityD2100	0.005772081091374388	3
_HydrophobicityT12	0.005742748775524002	3
_SecondaryStrD3050	0.005723761280367972	3
