feature	mean_abs_shap	repeat
pI	0.008545360858194457	2
_SecondaryStrC3	0.00770630633046456	2
instability	0.0066058946945578775	2
_ChargeC3	0.006416035860042041	2
DF	0.006308753958374477	2
_HydrophobicityC3	0.006111069840955266	2
P	0.006106409915421051	2
_ChargeT23	0.006096613709445489	2
_SolventAccessibilityT23	0.005986238432710842	2
IP	0.0058447776783711455	2
_HydrophobicityT12	0.005665286131886486	2
_ChargeC1	0.005636911818005917	2
_NormalizedVDWVC1	0.005243980190916209	2
EI	0.005183907234180369	2
_ChargeD3050	0.005168178235644957	2
_SecondaryStrC1	0.005084782609303908	2
EY	0.005051670170502426	2
_ChargeD1100	0.005027892188655731	2
L	0.004828544338909257	2
GD	0.004813200373377997	2
