feature	mean_abs_shap	repeat
length	0.04841193174248916	1
mw	0.047557469278368174	1
EY	0.020380558768898206	1
EE	0.019035841432785153	1
_HydrophobicityD3001	0.013561328905084994	1
NA	0.013286982358375212	1
ER	0.012402186405310475	1
_SolventAccessibilityD3050	0.011172589643393826	1
pI	0.010831585596762717	1
_ChargeD3050	0.010759718904283134	1
CL	0.010637231315859943	1
PC	0.010610031945010836	1
DF	0.010174040959971204	1
EN	0.009257784851974453	1
_NormalizedVDWVD1025	0.009208283238436293	1
_SecondaryStrD3025	0.008821322466383407	1
FE	0.008722498843791985	1
PR	0.008585593307370519	1
LK	0.008132435718770193	1
P	0.007837179131127787	1
