feature	mean_abs_shap	repeat
pI	0.014723098555798462	2
_ChargeC3	0.01041222037010493	2
P	0.00971327335840368	2
_ChargeT23	0.009709121532644461	2
DF	0.008875271160331067	2
_SecondaryStrC3	0.0073258774027391395	2
E	0.007067845455631298	2
_HydrophobicityT12	0.006618225434699497	2
length	0.006432574040144119	2
instability	0.0058348443423934075	2
IP	0.005556467803670558	2
_HydrophobicityC3	0.005455443236152606	2
_SecondaryStrD3001	0.005411111791447298	2
_PolarizabilityT13	0.00462247369387012	2
EY	0.004496434721841977	2
_PolarityT23	0.00443558657269199	2
_NormalizedVDWVC1	0.004298936468936178	2
_PolarizabilityD2001	0.004070256760620396	2
PE	0.0037964991524977454	2
D	0.0037021501379474555	2
