feature	mean_abs_shap	repeat
mw	0.014917334760401846	2
length	0.014140683863575651	2
DF	0.013235369203765853	2
EE	0.010242762193401329	2
EY	0.01023393919232526	2
pI	0.009194588726029731	2
NA	0.007165711713662945	2
GH	0.006813177732033634	2
_ChargeC3	0.006153332748342615	2
IP	0.005926516478058928	2
PE	0.005396634343691789	2
AE	0.005342976840005993	2
P	0.005330896117177132	2
FE	0.005131498010253235	2
YP	0.004860608219505279	2
EG	0.004768964946152279	2
_ChargeT23	0.004723350150215467	2
_SolventAccessibilityD1050	0.004588877642784192	2
_HydrophobicityT12	0.004554448042699255	2
_SolventAccessibilityD3075	0.004550879644900337	2
