feature	mean_abs_shap	repeat
length	0.023902223700562508	1
mw	0.023360332454566278	1
EE	0.011151106285772237	1
pI	0.00984611090242728	1
EY	0.008405439035193026	1
DF	0.006924898345657601	1
_ChargeC3	0.006767897605942248	1
_ChargeT23	0.006552654434478504	1
NA	0.005802962762572983	1
P	0.005775199734612645	1
AE	0.005317420542134477	1
_SecondaryStrC3	0.005029830229992419	1
_HydrophobicityD3001	0.004925098769080838	1
_HydrophobicityT12	0.004852811786365633	1
IP	0.0047672213631923584	1
CL	0.004740154751548058	1
FE	0.004669937388061275	1
C	0.004602140878849272	1
PE	0.004441022324785425	1
PR	0.004294512511926658	1
