feature	mean_abs_shap	repeat
P	0.5040988715851475	3
pI	0.464763622097939	3
_ChargeC3	0.31794092666151696	3
instability	0.2907048908276717	3
E	0.28410283433659933	3
_PolarizabilityD1100	0.24163105614916272	3
_ChargeT23	0.23318031192527272	3
_PolarizabilityD2001	0.21162801402366313	3
_SecondaryStrC3	0.2095928234145395	3
_HydrophobicityT13	0.20328291906636284	3
_HydrophobicityD3025	0.2032469788607384	3
_ChargeT13	0.1978383416683588	3
_SecondaryStrD3001	0.1929564838959398	3
_SecondaryStrD1001	0.1885447857869411	3
_SolventAccessibilityD1050	0.1632210584855172	3
_PolarizabilityD2100	0.16137312999773118	3
_SecondaryStrD1100	0.16077810373732934	3
_SecondaryStrC1	0.1604203604987661	3
EY	0.15923126336668494	3
_SolventAccessibilityD3001	0.15392412896213345	3
_PolarizabilityD2025	0.1436926163548313	3
_HydrophobicityT12	0.1362440530699852	3
_ChargeD1100	0.1346568420814526	3
_NormalizedVDWVD2001	0.13264234803906289	3
I	0.13036910033304014	3
