feature,mean_abs_shap,seed,best_model,rank
P,0.023288416325801795,8,svm_rbf,1
V,0.01994916886215213,8,svm_rbf,2
pI,0.01445981894027596,8,svm_rbf,3
mw,0.01401246191734582,8,svm_rbf,4
E,0.013807498769151251,8,svm_rbf,5
length,0.013589474786968505,8,svm_rbf,6
M,0.012713361982340087,8,svm_rbf,7
instability,0.012223755970366153,8,svm_rbf,8
G,0.010765118665358741,8,svm_rbf,9
T,0.010039613301834038,8,svm_rbf,10
L,0.00906898063106516,8,svm_rbf,11
Y,0.008852043470726306,8,svm_rbf,12
C,0.008815389358060012,8,svm_rbf,13
I,0.008478327729170478,8,svm_rbf,14
W,0.008150408313083952,8,svm_rbf,15
K,0.006942547588350695,8,svm_rbf,16
D,0.006524903729258756,8,svm_rbf,17
N,0.006228027377050103,8,svm_rbf,18
aromaticity,0.004512483472137391,8,svm_rbf,19
F,0.004454499865086315,8,svm_rbf,20
