feature,times_in_top_20,fraction_of_splits,mean_rank,median_rank,mean_abs_shap_across_splits,std_abs_shap_across_splits
length,10,1.0,3.6,2.0,0.1351318021404776,0.21667976776992762
C,8,0.8,22.7,6.0,0.10509899978848122,0.2083785679282385
mw,8,0.8,13.9,5.5,0.10446913687734163,0.20192770680821945
M,7,0.7,34.5,14.5,0.056215455701183005,0.13392249603820722
P,6,0.6,25.1,8.0,0.14213164623400532,0.24967496953884444
_SecondaryStrD1100,6,0.6,37.6,17.5,0.09381389882201538,0.17600895001316358
_SecondaryStrC3,6,0.6,28.6,12.0,0.07617840505392098,0.11875247365212929
instability,5,0.5,50.0,27.0,0.11701431535624648,0.26359149694682094
_ChargeT23,5,0.5,25.5,24.5,0.11487600114117928,0.18319813087721154
_PolarizabilityD2050,5,0.5,34.0,21.5,0.09163482828975436,0.17631668620766505
_ChargeC3,5,0.5,20.2,20.0,0.08025868334786447,0.12583928921083382
pI,4,0.4,33.0,28.5,0.14088987018529003,0.2432679214759059
_PolarizabilityT13,4,0.4,27.4,29.0,0.10344106332846315,0.19720938115596737
_ChargeD3050,4,0.4,36.9,23.0,0.10005549375117921,0.18934430963656024
_SolventAccessibilityD2050,4,0.4,55.8,52.5,0.08917249380897435,0.20081774892896748
_HydrophobicityT12,4,0.4,37.1,26.5,0.08491074994821565,0.14108803333089123
_HydrophobicityC3,4,0.4,56.9,42.0,0.06409565272941847,0.11063837040922928
_PolarizabilityD2100,3,0.3,52.0,41.0,0.11259231428047292,0.19146649430987742
_PolarizabilityD2075,3,0.3,61.0,35.5,0.08495105070799569,0.1661691793114359
W,3,0.3,43.5,27.5,0.08488581908441892,0.1782893223333895
T,3,0.3,36.9,29.5,0.07218724186038143,0.13576606779175027
_ChargeD1100,3,0.3,59.3,56.0,0.06474226540276475,0.10913839742515956
_SolventAccessibilityT12,3,0.3,65.6,64.5,0.053646939821008745,0.14854496828475935
_PolarizabilityD2001,3,0.3,79.3,90.5,0.041093500053244816,0.0684944718899211
_HydrophobicityD3100,2,0.2,74.0,68.0,0.07687463232298584,0.15974453066739094
_PolarizabilityD2025,2,0.2,76.8,66.0,0.06520899259273928,0.10570620814996246
_ChargeT13,2,0.2,33.6,29.5,0.06343818304747079,0.10358621867353127
Q,2,0.2,74.6,77.5,0.061387820747235644,0.13385931511650936
_SecondaryStrT12,2,0.2,98.1,113.5,0.059977895494544534,0.12661718838889166
_PolarizabilityC2,2,0.2,47.3,42.5,0.0570048842434018,0.1154813437215268
