feature,mean_abs_shap,seed,best_model,rank
length,0.01508404660162072,1,svm_rbf,1
C,0.01267370877329072,1,svm_rbf,2
mw,0.010287597488564289,1,svm_rbf,3
P,0.006826008894838833,1,svm_rbf,4
_PolarityD1050,0.005337480067886809,1,svm_rbf,5
_PolarizabilityD3050,0.004976666597073429,1,svm_rbf,6
_PolarizabilityC2,0.004742923833087955,1,svm_rbf,7
_SecondaryStrC3,0.004574859697159574,1,svm_rbf,8
_ChargeD1100,0.004496753146403303,1,svm_rbf,9
R,0.0042947893226262055,1,svm_rbf,10
_HydrophobicityC3,0.004118541557398081,1,svm_rbf,11
_HydrophobicityT12,0.004068577780887887,1,svm_rbf,12
M,0.004066664326354658,1,svm_rbf,13
_ChargeT23,0.003740057736512622,1,svm_rbf,14
_PolarityD2100,0.003694825474978026,1,svm_rbf,15
_SecondaryStrD3001,0.003646740889288748,1,svm_rbf,16
T,0.0034292727818298254,1,svm_rbf,17
_SecondaryStrD1100,0.0032244527824772684,1,svm_rbf,18
_PolarizabilityD2001,0.0031085911273336813,1,svm_rbf,19
_SecondaryStrC2,0.002980955728066796,1,svm_rbf,20
