feature,times_in_top_20,fraction_of_splits,mean_rank,median_rank,mean_abs_shap_across_splits,std_abs_shap_across_splits
length,8,0.8,17.5,5.5,140737488355.4074,445051015374.2357
mw,5,0.5,25.7,23.0,0.07416357987823324,0.14858543693515763
EY,5,0.5,45.7,19.0,0.03131172789255596,0.05777640933009966
pI,4,0.4,122.0,106.5,0.052820859586764204,0.1016143327008907
P,4,0.4,146.6,81.5,0.040247168516034874,0.0763578919794316
DF,4,0.4,40.2,23.5,0.030638050625286867,0.052592462877093855
_SecondaryStrC3,3,0.3,120.2,52.0,0.032656865969208415,0.0631017724254522
_ChargeT23,3,0.3,156.7,208.5,0.0301467881579718,0.055319489642920376
_HydrophobicityT12,3,0.3,67.5,66.5,0.02923582714657002,0.054599094326251436
M,3,0.3,149.3,78.5,0.02218397864990149,0.044407474725313444
_NormalizedVDWVC3,3,0.3,166.0,71.0,0.020419580713170384,0.03578028916511611
_PolarizabilityD1025,2,0.2,202.9,145.5,1.6441251803678313e+28,5.1991803283975e+28
_NormalizedVDWVD3075,2,0.2,253.1,251.0,521631013033.7755,1649542099367.6987
CF,2,0.2,253.6,211.0,186745544884.43533,590541264724.0116
TG,2,0.2,234.5,244.0,0.037439804809796876,0.07745069818489154
YD,2,0.2,249.4,252.5,0.03631023589106057,0.0787561227500455
_SolventAccessibilityD1050,2,0.2,245.2,185.5,0.03194564212250486,0.06694467262108361
_ChargeD3050,2,0.2,163.9,103.0,0.030492589414683486,0.062470729449347215
_PolarizabilityT13,2,0.2,161.4,133.0,0.02973903720870279,0.05974389836595122
_HydrophobicityC3,2,0.2,114.4,56.5,0.029478975190392782,0.05776707471709581
_ChargeC3,2,0.2,141.8,102.0,0.02846712502532872,0.05051048237169092
IP,2,0.2,124.0,61.0,0.02796551625579008,0.05868913478921482
E,2,0.2,115.8,56.0,0.027873648688782438,0.05084010538733757
LE,2,0.2,179.2,166.0,0.027313970973008785,0.07289958976091919
_SecondaryStrC1,2,0.2,133.5,64.0,0.024194716566506225,0.047031720467395906
instability,2,0.2,139.1,94.5,0.02212419396571761,0.0456721872879333
_NormalizedVDWVC1,2,0.2,104.1,51.0,0.021917746044280283,0.04106900440225043
_PolarizabilityD3100,2,0.2,110.5,90.5,0.02059903644677947,0.04107925975455603
_SecondaryStrD1100,2,0.2,250.2,181.5,0.01875685812150176,0.03842859408777666
_HydrophobicityD3050,2,0.2,156.9,101.0,0.01874848952658627,0.03613922987737492
PE,2,0.2,149.5,126.5,0.018303557662436125,0.03372529656806152
_HydrophobicityC1,2,0.2,183.8,103.5,0.01547570259316437,0.027632032553520494
_ChargeT13,2,0.2,190.7,142.0,0.012406147439287517,0.022302028901550846
_SolventAccessibilityD2075,2,0.2,149.6,109.5,0.012039994253117458,0.022757541610657038
AI,2,0.2,229.6,249.5,0.010841859552281934,0.025603537779972187
_SecondaryStrT12,2,0.2,268.5,294.0,0.0028347805737615377,0.004055302183042247
QK,2,0.2,304.2,376.5,0.0020285720817855234,0.002036570519136217
YQ,2,0.2,356.0,453.5,0.0010090614841399637,0.0014482249060139218
MG,1,0.1,307.3,310.5,1.6441251803678313e+28,5.199180328397501e+28
PF,1,0.1,366.8,397.5,3224504674036.4854,10196779095814.09
FA,1,0.1,338.1,374.0,2676913038172.5317,8465142298826.454
YR,1,0.1,280.5,272.0,1538774176728.0796,4866031203111.189
TT,1,0.1,306.4,320.0,713025636957.1715,2254785042876.988
_NormalizedVDWVD1075,1,0.1,315.9,365.0,547591635863.9581,1731636796987.635
HD,1,0.1,352.5,422.0,521631013033.77814,1649542099367.6968
FN,1,0.1,330.6,418.0,462724920827.1351,1463264679934.8281
ST,1,0.1,255.9,271.0,393062923808.4167,1242974102999.7844
_SecondaryStrD3075,1,0.1,261.0,257.0,356512818478.59247,1127392521438.4927
GR,1,0.1,319.2,327.5,140737488355.33008,445051015374.26074
_HydrophobicityD1001,1,0.1,199.9,155.5,70376772037.08824,222550894007.60898
CQ,1,0.1,275.1,254.5,0.041897057092595454,0.10259699120791739
PR,1,0.1,219.7,191.0,0.029339927698925218,0.08169363042654891
_SolventAccessibilityD3050,1,0.1,183.9,79.0,0.02932489453620258,0.0601576439025097
_NormalizedVDWVD2001,1,0.1,165.2,130.5,0.029310359562229778,0.06013815945465054
_SecondaryStrD2075,1,0.1,183.8,117.5,0.027117060401877065,0.05555626897128947
L,1,0.1,164.7,148.5,0.027116313760153304,0.05527752409110083
