feature,mean_abs_shap,seed,best_model,rank
_HydrophobicityC1,0.009678722544535234,5,svm_rbf,1
length,0.009541727003172256,5,svm_rbf,2
VT,0.00882290760987386,5,svm_rbf,3
NE,0.00875992648186948,5,svm_rbf,4
GA,0.008552253804692236,5,svm_rbf,5
_SecondaryStrC1,0.007199088897426822,5,svm_rbf,6
LL,0.006263584306730142,5,svm_rbf,7
_SolventAccessibilityD3075,0.0060104266877818065,5,svm_rbf,8
W,0.005568970723278273,5,svm_rbf,9
IQ,0.005487208577236649,5,svm_rbf,10
AD,0.005257361589772937,5,svm_rbf,11
_PolarizabilityD3100,0.004890903774283607,5,svm_rbf,12
_ChargeD1001,0.004752167119366594,5,svm_rbf,13
FS,0.00461256846447578,5,svm_rbf,14
SA,0.0044583184683957555,5,svm_rbf,15
IA,0.004340899178722303,5,svm_rbf,16
_SecondaryStrD2050,0.0043260062465668055,5,svm_rbf,17
IR,0.00386588572709276,5,svm_rbf,18
LS,0.003685500676736969,5,svm_rbf,19
AK,0.003593830120022161,5,svm_rbf,20
