feature	mean_abs_shap
mw	0.02187244920260412
length	0.02027874620980498
EE	0.012201891450652914
DF	0.010947586332939907
EY	0.008886576325065424
pI	0.007799569083669766
RG	0.006621657209644246
IP	0.006094851201948926
EG	0.005865210136778486
FE	0.005654117515325528
EQ	0.005517712379383458
_SolventAccessibilityD3050	0.005363273387658469
NA	0.005235832036307606
_ChargeC3	0.005098584730106393
_HydrophobicityT12	0.004904906542581518
PE	0.004895040215664603
AE	0.004783602747656729
instability	0.004634862031691473
_HydrophobicityC3	0.004595436223590248
_SecondaryStrC3	0.004485709612328803
P	0.004477933751454929
PM	0.004208422248808691
C	0.00416406572202803
_ChargeT23	0.004152551941142455
_SolventAccessibilityD3075	0.004139814092311172
G	0.004129739563122804
NR	0.004011296767445535
PC	0.0039059737408532486
DI	0.0038030662387792216
SG	0.0036719535392230732
LC	0.0036692356400289615
VC	0.003601273191977547
_PolarityC1	0.003548564445278216
_SolventAccessibilityD1050	0.0034979864928693467
_PolarizabilityD2050	0.003473096059299046
_SecondaryStrC1	0.003467627583939629
KN	0.003464460468615529
L	0.003431812357302193
GP	0.0033703140000836073
E	0.003361617013416651
LD	0.0033164335335890416
_PolarizabilityT13	0.0032848082814577037
_PolarityT23	0.003265885338637541
NG	0.00326451507729521
YP	0.0031719012920985324
_SecondaryStrT13	0.003171206160655743
GD	0.0031706126890485306
GH	0.0031598201319058606
_ChargeC2	0.003135099777111003
GN	0.0030695874916858
_NormalizedVDWVC1	0.003067847067624626
QC	0.0030392556691237536
_ChargeD2100	0.0029309878519002425
ER	0.002861147459275423
_ChargeD3050	0.0028607350754764017
_HydrophobicityD3050	0.002788480254505438
_SolventAccessibilityC1	0.0027830938058319714
SD	0.002783031106994163
_SolventAccessibilityT23	0.0027640278220210568
AQ	0.0027610811819576268
_PolarizabilityD1100	0.0027421904202755763
_HydrophobicityD3001	0.0027411238732504358
_PolarityD2050	0.002718224859671323
_ChargeD1075	0.0026472964213078987
CE	0.0026056448563326457
VR	0.0025800471665099025
I	0.0025741211843636628
_PolarizabilityD2075	0.002551423595088931
GG	0.0025506020591361924
YD	0.0025400823316341636
LP	0.0025360095183778113
TQ	0.002533492505665666
_SecondaryStrD2075	0.0025330799171582315
LL	0.002499854491316817
CL	0.0024184407517352465
IE	0.0023962605105135168
DC	0.002377453678901061
VL	0.0023612816329654784
QG	0.0023530928677923508
_HydrophobicityT23	0.0023232687029699117
CH	0.0023146464983475456
SV	0.002312361974051766
IL	0.002311315446340234
QL	0.0022964510529342595
DD	0.0022848601133221382
_ChargeD1050	0.00228019065357009
PR	0.00227944723028424
TG	0.002278901853675842
_NormalizedVDWVD2001	0.002257155409495146
_HydrophobicityC1	0.0022570950842610276
FL	0.002245371314315679
_NormalizedVDWVD3025	0.002225289339102791
ST	0.0022185149257485204
_PolarizabilityD3100	0.002214314458951112
_PolarizabilityD3025	0.002209917826657791
YE	0.0022053523814676524
_PolarizabilityD2025	0.0021964541753170664
TE	0.002184010350447987
_NormalizedVDWVD3100	0.002158118741934306
_PolarizabilityC2	0.0021470987491815645
_SolventAccessibilityC2	0.00214569424915424
SP	0.002130703510205262
ML	0.0021231206274839624
_PolarizabilityD2100	0.0020950626709659976
YH	0.0020867285328156127
DR	0.0020777168978835304
_NormalizedVDWVC3	0.002058788337698291
EV	0.0020195166282814853
_HydrophobicityD3100	0.0020013179235015446
T	0.0019831163445939047
_SecondaryStrD1075	0.001982398055368761
_NormalizedVDWVC2	0.001982378969512326
SF	0.0019443823577433364
_HydrophobicityD3075	0.0019325389197753552
WC	0.0019154674291445505
GK	0.0019073375905285191
TT	0.0018953298844451437
SY	0.0018931401808851508
KY	0.0018918284106643735
KA	0.0018755658834644228
_ChargeD1100	0.0018729911626512955
_SecondaryStrD3001	0.0018686204171269134
PD	0.0018635539318778576
_PolarityC3	0.0018556529127168526
_PolarityD1100	0.0018468455586713507
_HydrophobicityT13	0.0018467710515389652
_NormalizedVDWVD3075	0.0018448500716924672
LE	0.0018413031780115062
AI	0.0018332898992399233
GE	0.0018159020954736822
_PolarizabilityD3075	0.0018010988910587495
TI	0.0017854686784034893
WP	0.0017762718209243659
RS	0.0017661102480487586
HP	0.0017583639749274244
_ChargeC1	0.0017578977847590527
_ChargeD3001	0.0017378953669097983
_ChargeT13	0.001718981485420424
_PolarizabilityC3	0.0016968264272468904
TC	0.0016764627264379316
Q	0.0016656850069195791
W	0.0016648966624480562
DA	0.001652248843808402
CI	0.0016456614549692238
_SecondaryStrD3050	0.0016435717309888046
IW	0.0016348610206501494
F	0.0015950238238875152
_PolarityD2025	0.0015916264792220835
_PolarityD1075	0.0015887478996393918
_HydrophobicityD2100	0.0015773499054649422
K	0.0015617797005250196
_SolventAccessibilityD3100	0.0015550548377695076
IA	0.0015534531333659504
M	0.0015421825710439617
_SecondaryStrD2050	0.0015353717326841909
_NormalizedVDWVD1025	0.0015179511295921276
VI	0.0015024730993568355
HM	0.0015023197275795235
_ChargeD3075	0.0014957854396547908
_PolarityT12	0.001493222409347351
_SecondaryStrD3100	0.0014776561241826157
_NormalizedVDWVD1100	0.001473256968439962
_SecondaryStrD1100	0.0014588743856401945
HT	0.0014487187714262667
KK	0.001445066735330808
NT	0.0014423013164402883
AY	0.0014420371119652179
_ChargeD1001	0.0014357106421603774
_PolarityD1050	0.0014340717786699283
LI	0.0014159026612377606
_PolarizabilityT12	0.0014142932524956792
DK	0.001390752573168615
KG	0.0013874660482635322
KF	0.0013787968511909097
HL	0.001377188098661128
WG	0.0013394424708110752
_HydrophobicityD3025	0.001337556943757348
CG	0.0013226938047685853
_ChargeD1025	0.001313120864006808
FT	0.0013111920435382245
LG	0.001307666258965924
_SecondaryStrC2	0.0013027566507110232
EK	0.0012984946991650723
CT	0.00129137475807991
_NormalizedVDWVT23	0.0012906574467275187
TK	0.0012904983723129213
CV	0.0012787248280086737
_PolarityD3025	0.0012585111214058853
QF	0.0012531734721030392
IT	0.001247640186610301
QH	0.001240337299085636
DH	0.001236451095066252
FS	0.0012351237549404516
EW	0.0012232119609921095
_HydrophobicityD2050	0.0012187603927795345
KR	0.00121452280386453
HF	0.0012135586980041963
V	0.001210552914839112
RR	0.001203481194050872
AP	0.001199924114345341
CC	0.001194178834712162
LS	0.0011928724564665622
DN	0.001188816433445787
RN	0.001186608448100589
_NormalizedVDWVD2075	0.0011839681056834666
DG	0.0011766639007162044
_ChargeT12	0.0011754461225661273
AT	0.001161683209015393
SI	0.0011614561837346826
QE	0.0011610556877021227
QA	0.001140102934409638
A	0.0011390965136043316
_NormalizedVDWVT12	0.001135921352966213
_PolarityD2075	0.001135469711159777
MR	0.0011311780546398114
TR	0.001118896785104898
_HydrophobicityC2	0.001117221454124532
EP	0.0011085121333113525
_PolarizabilityD1050	0.0010878480158803925
_PolarityT13	0.0010835770808764911
SE	0.0010718330097601759
KQ	0.0010690487080958235
NC	0.001067010813244631
ET	0.0010608492172983167
IQ	0.0010570942214109616
YL	0.0010540590713899256
AH	0.0010505436470063375
EL	0.0010443230769140394
EC	0.0010363568824117218
_HydrophobicityD2025	0.0010221578152283834
GY	0.001022023359657279
LK	0.0010206881133276913
QK	0.001010301536865018
MT	0.0010092765241096079
YA	0.0010063131777587428
DQ	0.000999862088559283
GQ	0.0009962371727674805
GV	0.0009838433785890382
_ChargeD2075	0.0009826643250088218
KV	0.0009652296455209844
_PolarityD1001	0.0009554079951429581
_ChargeD3025	0.0009489049185050116
FF	0.0009387860926415183
_HydrophobicityD1001	0.0009374815662479619
VE	0.0009257999913555112
_HydrophobicityD1025	0.0009257635134749708
_NormalizedVDWVD2100	0.0009209103300853574
VN	0.0009208893373096936
IK	0.0009154986381881031
_PolarityC2	0.0009092513609006476
YF	0.0009056631352933058
CR	0.0009028509471433987
QS	0.0008973469958945063
_SecondaryStrD2001	0.0008890395703880113
LA	0.0008889368485153359
NN	0.0008860215604064261
IR	0.0008812732518578477
IN	0.0008728197731313138
GA	0.0008685000947152831
AA	0.0008671909282305326
_PolarityD1025	0.0008667784004578273
PS	0.0008567426575676588
