feature	mean_abs_shap
pI	0.0412697605654847
length	0.03567535958204145
mw	0.03306533807518574
P	0.03281597849007728
L	0.03274029493048803
instability	0.026537554679437535
G	0.025494528387701443
C	0.02300424664921794
E	0.022930081477933795
W	0.021956292738955333
M	0.020521175431774976
V	0.019659806016202704
K	0.01709939093216183
I	0.016076090146186908
D	0.014986080782969344
T	0.014219479358184517
F	0.01303578241858357
R	0.012697123811913482
Q	0.01131988284774398
S	0.010444066036922165
N	0.010105145172820061
aromaticity	0.009913033431736395
H	0.009650463326642867
Y	0.009004717596664717
A	0.0073385563278312565
