feature,mean_abs_shap,seed,best_model,rank
EA,2540865496811.1846,7,svm_rbf,1
TF,2540865496811.1846,7,svm_rbf,2
mw,0.015667461010984207,7,svm_rbf,3
length,0.00845720558823593,7,svm_rbf,4
EI,0.008059069810747966,7,svm_rbf,5
FE,0.005505387300546758,7,svm_rbf,6
NT,0.004682044468063142,7,svm_rbf,7
R,0.004636986145444383,7,svm_rbf,8
_SolventAccessibilityD3001,0.004589717017632458,7,svm_rbf,9
WF,0.004458850651805752,7,svm_rbf,10
M,0.003752428357558596,7,svm_rbf,11
V,0.0034309066591328985,7,svm_rbf,12
_SolventAccessibilityD3050,0.003407253007756649,7,svm_rbf,13
YI,0.0031446442822807546,7,svm_rbf,14
AD,0.0030691379114256238,7,svm_rbf,15
G,0.0030371946237533498,7,svm_rbf,16
QN,0.0029325217844017293,7,svm_rbf,17
QG,0.002836560141398207,7,svm_rbf,18
CV,0.002779675388763403,7,svm_rbf,19
SL,0.0027075319905751805,7,svm_rbf,20
